Time,precipitation
1-10 Jan 1981,1.541625
11-20 Jan 1981,1.40385
21-31 Jan 1981,1.450955
1-10 Feb 1981,0.6840754
11-20 Feb 1981,0.7585076
21-28 Feb 1981,0.9936048
1-10 Mar 1981,4.884979
11-20 Mar 1981,9.339564
21-31 Mar 1981,12.33235
1-10 Apr 1981,1.186027
11-20 Apr 1981,1.509876
21-30 Apr 1981,4.340171
1-10 May 1981,3.655888
11-20 May 1981,22.40266
21-31 May 1981,7.238856
1-10 Jun 1981,5.189871
11-20 Jun 1981,12.34839
21-30 Jun 1981,27.21534
1-10 Jul 1981,137.7914
11-20 Jul 1981,71.05322
21-31 Jul 1981,98.29521
1-10 Aug 1981,91.25104
11-20 Aug 1981,152.3138
21-31 Aug 1981,109.6646
1-10 Sep 1981,21.62432
11-20 Sep 1981,11.46759
21-30 Sep 1981,5.662126
1-10 Oct 1981,9.623482
11-20 Oct 1981,2.47082
21-31 Oct 1981,2.31861
1-10 Nov 1981,1.625502
11-20 Nov 1981,0.9839243
21-30 Nov 1981,1.37444
1-10 Dec 1981,1.390158
11-20 Dec 1981,2.392191
21-31 Dec 1981,2.052246
1-10 Jan 1982,3.036475
11-20 Jan 1982,2.684229
21-31 Jan 1982,1.427126
1-10 Feb 1982,1.574416
11-20 Feb 1982,1.366532
21-28 Feb 1982,2.65381
1-10 Mar 1982,21.55801
11-20 Mar 1982,10.39868
21-31 Mar 1982,3.5975
1-10 Apr 1982,7.238341
11-20 Apr 1982,2.192666
21-30 Apr 1982,6.603544
1-10 May 1982,21.0162
11-20 May 1982,27.78801
21-31 May 1982,13.9031
1-10 Jun 1982,7.375124
11-20 Jun 1982,25.34353
21-30 Jun 1982,7.097799
1-10 Jul 1982,20.23899
11-20 Jul 1982,43.58941
21-31 Jul 1982,90.49872
1-10 Aug 1982,52.94406
11-20 Aug 1982,125.8124
21-31 Aug 1982,80.37591
1-10 Sep 1982,22.17383
11-20 Sep 1982,6.307857
21-30 Sep 1982,5.493029
1-10 Oct 1982,6.58901
11-20 Oct 1982,4.551857
21-31 Oct 1982,1.743534
1-10 Nov 1982,1.331611
11-20 Nov 1982,2.87702
21-30 Nov 1982,1.542347
1-10 Dec 1982,1.611242
11-20 Dec 1982,3.927778
21-31 Dec 1982,2.123938
1-10 Jan 1983,1.402552
11-20 Jan 1983,1.572568
21-31 Jan 1983,1.605838
1-10 Feb 1983,1.437566
11-20 Feb 1983,1.345409
21-28 Feb 1983,1.697338
1-10 Mar 1983,2.671237
11-20 Mar 1983,3.882303
21-31 Mar 1983,2.075294
1-10 Apr 1983,0.8597032
11-20 Apr 1983,0.5982275
21-30 Apr 1983,2.364537
1-10 May 1983,11.86948
11-20 May 1983,39.89444
21-31 May 1983,10.67824
1-10 Jun 1983,30.12063
11-20 Jun 1983,7.751193
21-30 Jun 1983,9.730146
1-10 Jul 1983,20.85126
11-20 Jul 1983,58.45394
21-31 Jul 1983,131.8094
1-10 Aug 1983,82.83971
11-20 Aug 1983,71.28426
21-31 Aug 1983,160.8449
1-10 Sep 1983,14.01464
11-20 Sep 1983,13.91957
21-30 Sep 1983,4.114783
1-10 Oct 1983,3.740605
11-20 Oct 1983,4.462193
21-31 Oct 1983,3.443021
1-10 Nov 1983,2.43919
11-20 Nov 1983,3.052823
21-30 Nov 1983,2.23079
1-10 Dec 1983,1.518304
11-20 Dec 1983,1.663196
21-31 Dec 1983,2.01756
1-10 Jan 1984,1.624173
11-20 Jan 1984,1.537754
21-31 Jan 1984,1.588228
1-10 Feb 1984,0.7405711
11-20 Feb 1984,0.7382903
21-29 Feb 1984,0.9902252
1-10 Mar 1984,4.999361
11-20 Mar 1984,5.891847
21-31 Mar 1984,3.59813
1-10 Apr 1984,1.260577
11-20 Apr 1984,0.9524519
21-30 Apr 1984,1.833255
1-10 May 1984,4.639246
11-20 May 1984,15.59414
21-31 May 1984,15.72917
1-10 Jun 1984,18.91427
11-20 Jun 1984,11.87098
21-30 Jun 1984,24.14736
1-10 Jul 1984,41.57521
11-20 Jul 1984,67.55917
21-31 Jul 1984,65.03542
1-10 Aug 1984,74.96223
11-20 Aug 1984,58.40376
