"","1","2","3"
"1983",39.5,25,75
"1984",62.8,50,75
"1985",46.9,40.5,75
"1986",72.9057142857143,50,75
"1987",75,50,75
"1988",72.1,47.1,75
"1989",69.4,50,75
"1990",34.8,50,75
"1991",50,50,75
"1992",47.6,47,75
"1993",50.4,34.3,75
"1994",70.3,50,75
"1995",66.1,50,75
"1996",62.9,37.9,75
"1997",75,50,75
"1998",50,50,75
"1999",32.8,50,75
"2000",67.9,50,75
"2001",65.9,50,75
"2002",64.9,50,75
"2003",57,50,75
"2004",46.9,50,75
"2005",72.7,50,75
"2006",67.4,50,75
"2007",75,50,75
"2008",75,50,75
"2009",75,50,75
"2010",75,50,75
"2011",75,50,75
"2012",66.8,50,75
"2013",55.8,50,75
"2014",41.2,50,75
"2015",61.9,50,75
"2016",64.9,50,75
"2017",38.2,50,75
"2018",75,50,75
"2019",75,50,75
