"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.396752,0.2462627,0.2544574,0.516447,0.4682801,0.458818,0.4780541,0.2824772,0.4838731,0.3880718,0.3834473,0.3544554,0.4089118,0.4740613,0.3228824,0.4838003,0.4902711,0.3865916,0.3601107,0.3418816,0.5291301,0.5230532,0.3872763,0.498979,0.3366867,0.4850392
"Aug",0.5479513,0.5267467,0.4807004,0.5574871,0.5633481,0.640009,0.5520654,0.5065393,0.6078859,0.5998558,0.4853698,0.4752822,0.4618356,0.5897828,0.5837693,0.4692453,0.5361143,0.4489508,0.5685106,0.4816826,0.5736544,0.614585,0.6087271,0.5785348,0.5618144,0.4967564
"Sep",0.6668341,0.6292136,0.6426757,0.5867704,0.5920873,0.6670312,0.5921819,0.6863478,0.6250399,0.6801856,0.6231216,0.6328726,0.4863207,0.6676542,0.6795012,0.4893044,0.5340179,0.6294931,0.6544275,0.5371423,0.6451287,0.6393427,0.6434394,0.6103182,0.6262963,0.5921343
"Oct",0.656706,0.668977,0.5975983,0.5477708,0.5687718,0.58263,0.5071725,0.6026343,0.6166303,0.6531613,0.6066588,0.6056908,0.5543042,0.6600885,0.5534058,0.4483171,0.4374233,0.590832,0.5889021,0.5204303,0.538839,0.5297948,0.5539946,0.549571,0.5610096,0.5219264
"Nov",0.5175954,0.5619733,0.5417088,0.3928581,0.4613423,0.4489184,0.4441963,0.525383,0.5461149,0.4932547,0.5065844,0.5417437,0.4932812,0.5151219,0.4336193,0.3273862,0.4303536,0.5285491,0.5728223,0.5581034,0.4704305,0.3882049,0.4674705,0.4294519,0.4315353,0.4404042
"Dec",0.4012769,0.4575098,0.4362625,0.2943829,0.4002224,0.3825393,0.3643416,0.4612883,0.3905552,0.4208919,0.4038149,0.4254034,0.4174162,0.4334752,0.3184266,0.2845321,0.3894418,0.4353798,0.4404483,0.4381233,0.4009981,0.3460263,0.3875159,0.3572164,0.3641705,0.3652218
"Jan",,0.3107432,0.3693545,0.3299731,0.3062827,0.3247355,0.3136801,0.3456116,0.3851629,0.3425279,0.3412726,0.3591548,0.396366,0.3512431,0.3836228,0.2670644,0.2430303,0.3115746,0.3496827,0.3690294,0.3798941,0.3367814,0.3083457,0.3195272,0.3149206,0.3177465
"Feb",,0.2747789,0.3257622,0.3036125,0.2350278,0.2656856,0.2308528,0.2657632,0.2800485,0.2677719,0.3117411,0.3047231,0.3029794,0.28507,0.2998384,0.2159724,0.2184596,0.2603615,0.3287193,0.3046719,0.3212644,0.305827,0.2619767,0.2889272,0.276023,0.2606783
"Mar",,0.2410448,0.2510687,0.2253876,0.2250344,0.2441383,0.1739123,0.3116468,0.2422947,0.2324836,0.2820025,0.2302336,0.2476905,0.2540667,0.2770247,0.1551402,0.1542942,0.2109392,0.2632867,0.2853292,0.2666414,0.2620004,0.2509964,0.2492828,0.2517594,0.2494629
"Apr",,0.2627655,0.2468073,0.2138925,0.1876566,0.1903186,0.1702161,0.2456921,0.2331483,0.218755,0.2639578,0.2413754,0.1856229,0.2606938,0.2245833,0.1505917,0.1409761,0.2257559,0.2380368,0.2099318,0.2868841,0.2861529,0.2265682,0.2124432,0.2410384,0.2112921
"May",,0.2802602,0.2002067,0.2215817,0.2266211,0.1824545,0.2041302,0.1972143,0.2294788,0.2003577,0.2099178,0.3051139,0.2674118,0.2621773,0.2341234,0.2973031,0.2038318,0.2585086,0.1888416,0.2890446,0.2289439,0.2345493,0.1792841,0.2249043,0.2074678,0.2285069
"Jun",,0.2039295,0.2500121,0.4320385,0.3557958,0.1702761,0.4881372,0.272723,0.2915205,0.1686478,0.2521234,0.2574789,0.39723,0.2455056,0.2581559,0.534952,0.4268724,0.3222869,0.2078157,0.2821845,0.3342728,0.2188011,0.1794272,0.2181138,0.2196724,0.3365672
