"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",21.99363,24.70109,26.30732,25.26577,26.30343,22.44335,28.87786,23.24058,22.97284,23.44461,24.47757,25.43467,22.20007,23.22225,23.33939,24.29427,25.41983,27.35686,26.46888,22.64417,24.88592,23.43862,24.15473,25.19542,23.84152,21.48409,24.22147,23.02951,21.11481,23.6478,24.14216
"Feb",21.26925,22.75537,22.65881,23.21741,22.70807,18.41157,25.66814,17.45226,21.51465,20.91164,21.26554,22.74484,17.23119,24.21243,21.92443,20.54756,21.80253,24.67944,24.7023,24.188,21.52176,19.89044,21.90864,22.25007,21.94369,22.26532,22.40783,21.79128,19.52105,23.24329,21.66349
"Mar",22.47331,26.77658,25.36176,25.79989,24.81582,24.76964,27.61958,23.41361,23.94516,25.46992,28.65302,28.97434,24.60264,28.65853,22.83224,24.75842,29.87417,31.2592,28.06794,27.4041,25.33427,25.98593,25.15724,27.30074,29.59546,28.5918,26.90571,25.22874,24.57637,27.12638,30.03578
"Apr",25.98606,29.48597,26.38462,24.64597,29.8046,22.5905,25.25154,23.00799,28.62387,27.7902,27.62131,28.55519,26.09646,29.88507,25.75851,28.26593,31.69589,33.56403,30.50827,27.8865,29.63002,28.62305,26.94606,30.32812,26.37807,30.51188,27.45426,26.69099,29.74507,28.98673,29.33307
"May",26.57885,31.12285,30.36618,31.27667,39.52032,33.55581,33.35083,27.77261,35.0554,33.78448,39.8308,35.0731,31.40957,39.61661,41.14474,33.18866,39.33289,39.65754,37.89955,33.71548,32.76176,32.65667,32.53797,36.52654,34.76262,45.88456,35.57649,34.71432,36.80471,31.67862,33.19808
"Jun",35.64055,39.41673,42.21373,34.27022,48.47869,39.7691,40.27522,34.63484,38.71475,39.06425,43.79079,40.55087,39.05054,42.81891,46.01653,44.64236,41.75974,43.66227,44.18597,41.92479,42.58401,39.08039,37.91573,43.58172,42.48485,50.22182,41.62778,43.41624,42.42315,34.63597,33.55484
"Jul",49.31487,55.02378,50.33285,45.7798,61.09114,34.06402,52.35422,43.26317,44.60986,52.30577,51.43938,36.45934,42.80437,52.00763,59.57257,46.45638,49.32788,56.28954,53.58969,58.33889,50.82839,52.9617,51.60188,55.43023,47.40897,58.34452,50.95881,49.49487,47.90678,38.31196,42.78522
"Aug",46.38855,64.8071,54.81512,58.66339,61.52267,53.30161,60.60063,61.93497,58.43999,41.58211,57.37345,50.61784,58.56911,55.72695,66.359,49.67644,58.50753,53.40992,56.29753,66.74992,54.83873,66.39874,66.74348,58.93062,66.94421,63.64104,67.82306,53.67154,45.56477,50.83584,47.93431
"Sep",63.64706,63.59282,63.40202,67.54884,66.07234,65.85567,63.74507,63.06938,60.86636,64.07442,65.85272,62.79892,65.17426,65.04766,65.23366,64.95849,68.1789,64.35206,64.16753,61.57531,64.50094,61.31551,64.01215,64.23308,65.12857,61.28303,67.06648,63.68429,59.14048,60.59674,57.60186
"Oct",48.92055,54.05651,51.4946,58.4454,51.66741,53.55958,56.45734,56.25898,54.1714,49.0561,53.59739,52.93398,51.46293,50.29185,48.55255,55.9691,55.76547,55.87448,55.53448,53.14011,55.19921,52.00323,52.77788,54.73751,51.77947,47.34133,51.08868,52.54175,49.66326,51.95858,50.89658
"Nov",37.04447,36.64065,36.58047,40.86531,37.64968,39.99783,40.0571,35.99251,36.93886,35.8469,39.74059,37.26519,35.82112,33.88393,40.66301,38.75375,41.61691,43.18354,39.24545,33.56528,38.3984,37.50479,38.58116,39.72361,36.04645,35.67473,35.91404,35.0252,32.64567,36.74658,37.17907
"Dec",31.01413,29.02882,29.58316,31.04865,28.35213,30.73586,24.71729,28.72471,29.78847,29.14221,29.95231,29.31382,26.48286,27.33363,30.63046,29.71954,32.61021,30.14964,29.09922,28.30705,27.77239,28.83242,29.93095,32.8559,27.91937,27.85007,26.29753,25.9079,27.28853,27.67531,27.9931
