"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
"2",0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,6,9,0,0,0,0,7,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
"5",0,0,0,0,1,0,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,5,0,0,22,4,22,0
"6",0,3,0,1.83333333333333,0,0,3,1.83333333333333,0,0,0,1.83333333333333,9,5,3,1.83333333333333,0,0,0,1.83333333333333,0,0,30,1.83333333333333,0,0,0,1.83333333333333,0,0,0,1.83333333333333,0,0,0,1.83333333333333,0,2,0,1.83333333333333
"7",8,4,0,4,0,15,35,0,0,12,0,0,0,0,0,19,11,0,0,0,0,8,0,0,0,5,0,0,10,0,0,0,3,9,0,0,0,0,0,0
"8",9,38,4,8,0,17,21,0,17,0,18,32,0,0,4,3,11,0,0,0,20,0,8,2,8,0,0,0,5,0,18,0,0,32,12,23,0,0,13,5
"9",14,0,0,0,12,0,19,0,24,16,0,0,50,0,25,34,3,0,9,0,37,25,9,29,9,22,6,0,23,12,0,0,27,0,14,0,9,0,0,0
"10",0,18,0,0,50,40,27,2,6,0,19,0,65,0,4,13,14,7,0,1,0,1,0,18,0,59,24,7,3,19,0,3,3,45,0,10,0,15,6,12.2820512820513
"11",5,16,7,1,30,12,0,15,22,0,3,0,17,16,4,0,4,0,0,7,0,0,13,5,2,27,4,0,0,17,0,1,7,0,0,14,0,2,17,6.87179487179487
"12",0,30,17,0,29,6,0,0,17,36,0,0,40,28,18,0,11,0,0,0,22,0,0,0,40,4,0,10,0,10,14,13,5,0,0,37,12,15,5,10.7435897435897
"13",0,0,42,0,35,14,66,0,6,0,31,26,5,0,5,55,0,23,0,22,9,20,0,7,25,39,3,4,0,18,18,29,5,6,23,22,0,0,0,14.3076923076923
"14",15,10,47,6,0,22,37,37,0,0,5,2,69,0,29,33,12,5,0,0,0,0,26,0,19,0,18,10,0,14,10,0,3,16,0,5,33,0,10,12.6410256410256
"15",0,0,31,0,2,10,48,0,0,12,9,0,0,0,4,19,30,0,0,0,7,0,0,0,0,13,0,0,0,0,36,1,0,21,9,0,0,10,4,6.82051282051282
