Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0419354838709677,0.0419354838709677,0.0419354838709677,0,0,0,0.0631476050830889,0.0631476050830889,0,0.0631476050830889,0,0,0.0212121212121212,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.6
6,2.35555555555556,21.2,3.8967320261438,3.47320261437909,2.35555555555556,0,2.35555555555556,2.77908496732027,2.35555555555556,1.11764705882353,17.4555555555556,2.35555555555556,2.77908496732027,0,2.35555555555556,2.35555555555556,2.35555555555556,0,2.35555555555556,2.35555555555556,25.2555555555556,0,2.35555555555556,2.35555555555556,2.35555555555556,0,16.7555555555556,2.35555555555556,2.35555555555556,0,2.35555555555556,2.35555555555556,2.35555555555556,0,2.35555555555556,2.35555555555556,2.35555555555556
7,0,15.5,3.39705882352942,5.7627731092437,21.1,0,0,3.39705882352942,0,0,0,2.36571428571429,0,18.3,27,0,0,0,0,13.3,0,0,0,34.1,0,0,33.7,0,0,0,8.5,17.6,0,9.2,0,0,0
8,4.84571428571428,14.9,9.48857142857142,25.7,4.64285714285714,0,14.3,0,16.2,13.3,10.2,0,18,10.2,12.4,0,0,0,10.2,0,0,0,42,33.9,0,0,9.5,0,0,0,0,18.1,15.7,20.7,0,13.3,33.5
9,0,0,21.4228571428571,0,14.4,0,30.9,9.2,0,0,22.4,4.82285714285714,0,45,0,8,0,0,29,41.3,0,0,0,12.9,15.9,0,36.3,0,0,29.6,0,0,29.7,0,13.9,0,26.2
10,5.63714285714285,0,12.6588235294118,19.4,19.1,15.8,3.4,10.9,22.9,6.8,22.6,5.35882352941177,10.9959663865546,15.7,34.8,0,0,45.1,0,15,0,21.4,0,13.4,9.3,4.6,5.6,13.1,9.4,7.9,6.6,11.6,0,9.1,0,13.1,15.6
