Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.371428571428571,0,0,0,0,0,0,0,0,0,0,0,13,0.371428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0,0,0,0.419354838709677,0,0,0,0.419354838709677,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.032258064516129,0.032258064516129,0.032258064516129,0,0,0,0.0474095796676442,0.0474095796676442,0,0.0474095796676442,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,21.3,3.3,3.32,11.5,0,0,3.3,0,0,0,0.02,0,11.5,11.5,0,0,0,0,11.4,16.4,0,0,0,0,0,14.7,0,0,0,0,14.6,0,0,0,0,0
8,2.72,0,6.42857142857143,34.6,3.70857142857143,0,31.8,0,0,0,0,0,0,0,46.2,0,0,0,0,0,0,0,51.8,0,0,0,0,0,0,0,0,60.6,0,0,0,0,0
9,0,0,2.38571428571429,0,0,0,34.5,0,17.7,0,0,2.38571428571429,0,85.8,0,37.9,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8.26,0,14.864705882353,5.2,22.3,25.1,6,9.3,12.3,6.9,26.1,7.26470588235295,15.524705882353,26.6,59.3,0,0,88.6,5.2,30.7,6.9,54.2,0,10.4,8.6,19.5,0,24.8,5.3,12.2,5.2,8.1,0,17.2,0,7.7,24.8
11,19.3,7.8,5.4,26.4,23.6151515151515,16.5,28.4,0,13.9,13,18.7929292929293,16.4,21.7,10.2,19,22.4151515151515,20.9,67.6,0,7.1,5.4,28.4,24.9151515151515,36.2,39.7,43.6,0,33.3,6.7,24.9,15.2,21.8,0,9.6,20.5,0,26.7
