"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,49.95,3.65,46.81,0,0,29.65,29.65
1984,16,25,29.24,54.24,0,0,5.67,5.67
1985,16,7.25,32.25,75,0,0,0,0
1986,16,25,50,75,0,0,0,0
1987,16,11.24,6.68,31.34,0,0,79.56,79.56
1988,16,28.25,37.59,75,0,0,0,0
1989,16,1.16,25,75,100,0,0,100
1990,16,6.6,28.6,71.99,0,0,0,0
1991,16,33.43,50,75,0,0,0,0
1992,16,0,3.85,53.85,100,0,6.95,106.95
1993,16,14.49,0,50,0,0,19.35,19.35
1994,16,9.06,34.06,75,0,0,0,0
1995,16,0,6.5,56.5,100,0,0,100
1996,16,50,25,75,0,0,0,0
1997,16,39.95,33.52,73.68,0,0,0,0
1998,16,3.21,25,75,100,0,0,100
1999,16,25,50,75,0,0,0,0
2000,16,21.98,29.45,75,0,0,0,0
2001,16,16.21,34.47,68.27,0,0,0,0
2002,16,27.26,25.45,53.72,0,0,7.36,7.36
2003,16,3.78,28.78,75,100,0,0,100
2004,16,23.32,27.64,54.32,0,0,5.42,5.42
2005,16,32.02,46.64,75,0,0,0,0
2006,16,0,0,48.75,100,0,23.39,123.39
2007,16,28.22,50,75,0,0,0,0
2008,16,21.5,29.55,75,0,0,0,0
2009,16,24.91,20.56,70.56,0,0,0,0
2010,16,0,5.4,55.4,100,0,1.92,101.92
2011,16,28.06,39.93,75,0,0,0,0
2012,16,9.46,34.46,75,0,0,0,0
2013,16,25,42.33,67.33,0,0,0,0
2014,16,0,14.71,64.44,100,0,0,100
2015,16,0,22.57,63.34,100,0,0,100
2016,16,8.48,17.84,67.84,0,0,0,0
2017,16,6.83,31.83,75,0,0,0,0
2018,16,40.66,25,66.08,0,0,0,0
2019,16,39.28,47.63,72.63,0,0,0,0
