"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"2-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"3-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"4-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"5-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"6-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"7-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"8-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"9-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
"10-Jan",0.3688004,1.812012,0.5002151,0.6745531,0.6771637,0.6771637,0.6742159,0.5634614,0.6771637,0.6718269,0.6771637,0.6771637,0.6716053,0.6745531,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,0.6771637,1.252453,0.6771637,0.6771637,0.6272594,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716,0.6031716
