"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",2.626698,20.45334,3.544505,4.173078,5.190958,5.090628,5.342973,5.406566,4.456069,6.107055,6.569386,8.961636,9.986822,3.836464,3.788914,7.992696,6.857508,19.16902,11.18879,3.667482,3.746896,12.07035,6.467201,5.471208,5.682975,4.475226,6.860654,7.887886,3.615222,7.499253,5.466712,3.885384,5.933786,5.927847,5.816184,6.448566,3.220197,4.319496,3.752213,3.933655
"2",2.825616,15.1033,4.987694,4.470284,5.765039,5.114533,5.422133,6.21523,11.35336,7.076757,6.360044,12.24557,19.11888,4.109694,4.024052,8.965844,6.3222,20.36233,11.32077,4.046645,4.203313,9.570715,7.195143,9.81233,5.660537,4.162947,10.7628,14.77931,4.015033,5.042943,8.890163,4.294747,20.0779,6.079483,5.87186,5.217999,3.386822,4.126385,4.012803,4.770565
"3",2.172306,2.320099,9.251358,5.709082,8.80921,6.71391,6.275603,8.055751,6.940414,10.08248,9.096746,14.96391,13.13683,5.080019,5.278603,9.646887,9.027716,13.98276,15.10299,5.232096,5.345388,12.74591,19.66729,11.65709,8.096401,5.311424,9.557808,10.32313,6.910817,7.195821,8.61643,5.003911,7.651961,7.284983,7.586519,7.666403,4.532938,6.017489,4.868622,9.716947
"4",2.585854,13.38408,15.01786,3.801902,6.446022,9.629296,7.325615,18.64716,21.67352,39.51086,11.95084,24.47596,10.06039,6.408623,13.80798,4.460418,4.081589,15.94317,4.452176,4.222959,6.293229,5.269316,12.03503,6.623002,6.240767,5.149171,12.03888,4.510465,4.94441,5.361093,5.537663,4.03786,6.154206,7.100982,9.277351,5.848736,7.425519,6.564903,3.950304,4.867286
"5",3.592765,14.05857,9.786573,3.708178,6.515847,12.13278,6.082939,37.01902,5.284039,22.41544,12.54573,8.638868,10.8269,6.504546,15.41097,4.775962,6.18244,12.6959,4.24807,4.346167,6.523438,6.229857,13.6471,6.906699,7.586319,5.618756,22.37739,6.285378,6.342232,5.960352,5.195817,4.171215,5.975055,14.55292,7.893851,6.592924,68.72323,9.399037,22.30342,6.501235
"6",2.324399,40.14606,6.443254,8.03147886666667,3.601702,12.68296,6.776607,8.03147886666667,5.078848,5.344786,14.54085,8.03147886666667,23.08907,6.491244,7.682492,8.03147886666667,2.99622,8.462749,2.902361,8.03147886666667,3.725251,3.52038,18.49888,8.03147886666667,3.94656,3.224621,5.30702,8.03147886666667,2.789279,2.497077,2.986657,8.03147886666667,4.094231,5.269663,5.217689,8.03147886666667,7.445495,20.02542,3.832541,8.03147886666667
"7",21.93619,29.85771,2.482093,4.363997,6.243064,7.128139,65.0386,4.051612,11.11216,4.135468,7.293935,5.939926,9.358168,12.77499,14.08209,10.69652,17.33129,16.58623,4.998858,4.304376,33.68431,12.86297,9.946971,7.973714,6.473426,9.074481,4.985571,3.252116,4.506666,6.881356,5.642825,4.976085,4.164974,7.738266,5.974086,16.54693,6.915398,4.763259,5.492935,10.8095321794872
"8",22.98208,11.0004,3.050777,22.5043,4.894419,5.89902,9.628552,2.935421,41.47752,2.60304,7.048706,49.48132,19.31007,19.75945,10.51614,41.48658,16.36195,3.935668,3.875232,3.377593,37.95809,4.779155,15.2393,7.387003,33.62177,38.07759,9.75403,2.583939,3.629582,4.420496,22.45755,4.169315,8.250685,41.38541,8.127851,10.21155,12.57646,3.84566,7.068656,14.812111025641
"9",48.51919,25.04371,16.11863,8.871796,27.69379,13.02475,18.03904,3.314526,33.50157,16.52833,15.624,24.22261,10.39926,10.97266,20.06297,48.06469,45.73095,12.33883,4.974237,5.864217,28.94161,27.17555,34.40604,7.247738,5.879807,47.62234,16.51309,3.009219,23.18338,16.83508,3.731459,42.75142,8.877321,23.3473,19.24941,9.725642,15.40846,3.999266,37.63539,20.1140840512821
"10",8.370104,48.40493,18.4565,8.095584,47.52599,44.67635,41.18667,9.155911,12.58236,24.26735,14.96655,6.50322,71.04046,8.276674,70.80829,13.8245,37.76606,7.184679,9.95141,7.322206,7.230659,36.23717,12.26779,44.50675,10.00962,33.12384,13.93565,11.44521,23.7856,8.218655,17.73767,45.02135,23.40099,55.58084,5.547076,37.11254,3.728664,25.88222,27.50324,24.4267008205128
