"","1","2","3"
"1981",0,25,63
"1982",0,25,66
"1983",13,12,56
"1984",0,15,43
"1985",0,25,59
"1986",25,50,56
"1987",0,14,41
"1988",15,38,73
"1989",0,25,75
"1990",0,25,75
"1991",11,36,75
"1992",0,15,65
"1993",0,25,75
"1994",0,25,75
"1995",7,7,50
"1996",25,25,75
"1997",10,27,75
"1998",10,35,75
"1999",0,25,75
"2000",2,27,74
"2001",3,3,50
"2002",0,8,58
"2003",0,25,75
"2004",23,23,50
"2005",7,32,75
"2006",0,25,62
"2007",22,40,75
"2008",22,10,60
"2009",0,22,72
"2010",0,5,55
"2011",7,20,63
"2012",13,33,75
"2013",0,9,45
"2014",0,8,33
"2015",4,4,15
"2016",0,25,75
"2017",0,25,71
"2018",45,35,75
"2019",25,35,67
"2020",8.15384615384615,29.6153846153846,75
