"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"2-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"3-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"4-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"5-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"6-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"7-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"8-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"9-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
"10-Jan",0.1180124,0.155793,0.1206026,0.1317812,0.133629,0.133629,0.131628,0.122962,0.133629,0.1296921,0.133629,0.133629,0.1297802,0.1317812,0.133629,0.133629,0.133629,0.133629,0.133629,0.133629,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.08423274,0.1879217,0.08423274,0.08423274,0.08423274,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679,0.0971679
