"","1","2","3"
"1983",8.4,17.7916666666667,60.2916666666667
"1984",2.4,10.3,33.5
"1985",0,25,60.6
"1986",28.0342857142857,50,57.3
"1987",9.08611111111111,17.9861111111111,45.3
"1988",17.2,41.3,75
"1989",2.55928571428571,25,75
"1990",0,25,75
"1991",10.4,34.4,75
"1992",0,15.5,62.8
"1993",6.9,30.7,75
"1994",1.7,25,75
"1995",14,12.4,50
"1996",9,25,75
"1997",28.6,39.9,63
"1998",5.7,30.7,75
"1999",20.8,45.1,75
"2000",17.8,42,75
"2001",25.6,25,50
"2002",0.9,15,59.4
"2003",0,25,75
"2004",23.1,23.1,45.7
"2005",19,43.4,75
"2006",0,25,72.2
"2007",28.3,47.5,75
"2008",6.4,21.1,71.1
"2009",10.3,33.6,75
"2010",25.7,45.8,70.8
"2011",14.8,38.8,75
"2012",19.2,42.5,75
"2013",0.7,22.7,72.7
"2014",0,0,42.9
"2015",0.6,0,30.4
"2016",2.9,20.6,70.6
"2017",0.7,25,75
"2018",28.4,48.4,75
"2019",14.8,34.4,75
