Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.0131355810810811,0,0,0,0,0,0.150167611111111,0.150167611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.406034,0,0,0,0,0,0,0,0,0.4860165
2,0,0,0.706428108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.13784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.321804857142857,0,0,0,0,0,0.321804857142857,0,0.321804857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0589041891891892,0,0,0,0,0,0,0,2.179455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5.133589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1244337,1.244337,0.310619366666667,0.1244337,0.310619366666667,0,0.1244337,0.599467754054054,0.1244337,0,0.1244337,0.1244337,0.1244337,0,0.1244337,0.1244337,0.1244337,0,0.1244337,17.7006937,0.1244337,6.702684,0.1244337,0.1244337,0.1244337,0,0.1244337,0.1244337,0.1244337,0,0.1244337,0.1244337,0.1244337,0,0.1244337,0.1244337,0.1244337
7,0,0,0.0763616,0,0.0763616,0,0,18.0513,0,0,0,0.205866135135135,0,2.672656,0,0.0763616,0,0,0,0,0,0,7.617047,4.824518,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,22.68984,0.547474540540541,1.449533,0.446591621621621,0,0,0,0,0,10.06864,0,3.814827,0,0,0,0,0,0,0,0,0,18.629143,0,0,0,0,11.5099,23.749628,0,0,6.680137,0,0,0,0,0
9,0.216253027777778,0,20.9563492064565,1.885575,0,7.648219,1.830663,4.742527,0,0,0.182588611111111,0,0,21.617079,0,0,0,0,0,0,0,0,3.634207,0,7.690879,0,2.804167,0,0,0,0,0,5.909721,0,6.10912,14.284704,0
10,0.194189055555556,0,0.382178189189189,0.436192756756757,0,1.460904,2.16999732282282,0.223838648648649,40.056665,0,3.053618,0.167265540540541,0.923561944444444,0,13.696172,0,0,48.143378,0,6.430937,0,2.240955,0,0,6.21378,28.1006,2.483675,5.513963,0,0,0,0,0,0,0,6.188825,3.808224
11,0,4.972151,0,8.822655,46.958937,4.147256,1.14482680555556,0,3.618037,3.949462,0.0693039722222222,5.869145,8.470071,3.962788,0,0.143702222222222,8.603823,8.121241,0,0,0,0,11.0035866388889,35.392333,0,11.48538,0,4.031207,0,2.295092,28.967178,5.937941,0,0,7.54536,0,2.011361
12,10.1204729435294,9.992398,11.5755063006723,2.219167,1.15197480555556,0,3.36125496638655,27.295158,0,0,43.822782,8.694265,11.42909,33.90629,0,0,20.8622,13.54946,0,0,0,4.835273,16.966689,7.119188,5.874183,6.497118,0,11.607065,8.202651,2.991831,0,19.8978887,0,0,10.8547,0,5.618484
13,3.571972,0,5.36930210079366,1.16119083333333,44.622008,20.867962,0,0,30.218379,55.273008,0,35.256563,11.642914,10.7604905,17.8048686285714,13.391246,0,4.12267,7.029098,0,0,0,0,14.23621,0,7.46152,0,43.768237,0,13.615715,0,0,17.475689,50.382355,26.70924,3.756326,0
14,6.849111,0,4.63589677142857,2.88392363253968,87.930731,0,11.2549873055556,0,0,0,28.065134,2.254439,0.863592,80.782187,64.736276,11.3969,0,0,0,0,0,0,3.380294,0,1.47529,27.976289,0,0,26.036222,19.92017,9.787806,37.996919,0,0,46.797506,0,14.354568
15,1.747518,0,0,0.928428114285714,171.448218,0,2.49899672222222,0,3.481716,0,4.755608,0,10.015883,59.021241,93.716949,12.2050861142857,0,0,0,0,0,0,10.195388,0,0,0,0,0,45.456063,0,0,38.940509,3.483764,0,5.135769,25.9065,30.203547
16,44.733304,0,0,0,5.97325,3.705505,2.88909633333333,0,4.401968,0,57.0614095833333,38.68755,0,32.42647,27.969054,20.29657,0,2.682472,9.000001,4.848236,0,0,0,0,0,0,9.173066,0,0,0,0,0,0,0,0,4.887554,6.717643
17,0.991096805555555,4.554401,4.732217,0,36.792323,0,0,0,0,0,5.18504927777778,0,0,5.579681,9.273326,0,3.721889,0,0,0,4.389822,0,0,3.090255,2.969132,0,0,0,38.13049,4.612733,0,0,0,7.538676,0,0,5.315835
18,2.00245757142857,26.9039020833333,0.526569083333333,174.55807,6.17852021031746,0,0,0,0,18.716808,0,72.71626,8.708127,9.257739,16.751689,0,1.948023,20.439454,0,3.827162,11.45268,10.891007,11.6265,42.09037,8.406717,0,8.480989,0,0,53.532985,4.320123,0,0,0,0,0,8.049889
