Time,precipitation
1-10 Jan 1981,0.9492104
11-20 Jan 1981,0.985186
21-31 Jan 1981,1.100009
1-10 Feb 1981,0.7805555
11-20 Feb 1981,1.085224
21-28 Feb 1981,1.6101
1-10 Mar 1981,7.592541
11-20 Mar 1981,20.95572
21-31 Mar 1981,31.51933
1-10 Apr 1981,12.98142
11-20 Apr 1981,20.32314
21-30 Apr 1981,10.74976
1-10 May 1981,5.193147
11-20 May 1981,33.83475
21-31 May 1981,6.211605
1-10 Jun 1981,2.268383
11-20 Jun 1981,5.754338
21-30 Jun 1981,12.46868
1-10 Jul 1981,153.7532
11-20 Jul 1981,73.96882
21-31 Jul 1981,62.21542
1-10 Aug 1981,49.47676
11-20 Aug 1981,108.4207
21-31 Aug 1981,81.0752
1-10 Sep 1981,10.70296
11-20 Sep 1981,6.259604
21-30 Sep 1981,3.577028
1-10 Oct 1981,10.35934
11-20 Oct 1981,2.673787
21-31 Oct 1981,2.849197
1-10 Nov 1981,2.938985
11-20 Nov 1981,2.345188
21-30 Nov 1981,5.033257
1-10 Dec 1981,0.6837833
11-20 Dec 1981,0.5927383
21-31 Dec 1981,0.7996526
1-10 Jan 1982,2.186785
11-20 Jan 1982,3.019065
21-31 Jan 1982,1.124793
1-10 Feb 1982,1.429543
11-20 Feb 1982,1.602637
21-28 Feb 1982,3.159966
1-10 Mar 1982,28.3033
11-20 Mar 1982,12.3554
21-31 Mar 1982,6.583578
1-10 Apr 1982,40.09604
11-20 Apr 1982,20.83771
21-30 Apr 1982,22.4901
1-10 May 1982,19.02515
11-20 May 1982,15.5127
21-31 May 1982,9.614044
1-10 Jun 1982,5.106354
11-20 Jun 1982,13.66153
21-30 Jun 1982,7.477843
1-10 Jul 1982,26.9367
11-20 Jul 1982,34.50493
21-31 Jul 1982,87.42541
1-10 Aug 1982,36.15077
11-20 Aug 1982,83.51501
21-31 Aug 1982,27.87177
1-10 Sep 1982,9.051331
11-20 Sep 1982,2.585825
21-30 Sep 1982,3.960282
1-10 Oct 1982,17.33322
11-20 Oct 1982,8.64934
21-31 Oct 1982,2.694363
1-10 Nov 1982,2.082958
11-20 Nov 1982,5.081769
21-30 Nov 1982,2.168933
1-10 Dec 1982,1.031072
11-20 Dec 1982,0.5697429
21-31 Dec 1982,0.805639
1-10 Jan 1983,0.8047769
11-20 Jan 1983,1.060591
21-31 Jan 1983,1.316746
1-10 Feb 1983,1.244809
11-20 Feb 1983,1.50445
21-28 Feb 1983,2.098554
1-10 Mar 1983,4.29604
11-20 Mar 1983,6.13127
21-31 Mar 1983,4.582405
1-10 Apr 1983,6.646841
11-20 Apr 1983,5.01425
21-30 Apr 1983,19.74655
1-10 May 1983,17.0915
11-20 May 1983,22.99521
21-31 May 1983,11.94688
1-10 Jun 1983,16.26936
11-20 Jun 1983,6.531024
21-30 Jun 1983,9.352995
1-10 Jul 1983,14.23355
11-20 Jul 1983,42.10349
21-31 Jul 1983,59.28273
1-10 Aug 1983,68.37907
11-20 Aug 1983,48.15527
21-31 Aug 1983,88.57214
1-10 Sep 1983,18.94412
11-20 Sep 1983,16.32643
21-30 Sep 1983,4.04841
1-10 Oct 1983,3.188517
11-20 Oct 1983,5.85856
21-31 Oct 1983,2.607774
1-10 Nov 1983,3.746021
11-20 Nov 1983,8.456003
21-30 Nov 1983,3.454862
1-10 Dec 1983,0.8492222
11-20 Dec 1983,0.5071487
21-31 Dec 1983,0.6558208
1-10 Jan 1984,0.8537169
11-20 Jan 1984,0.9419187
21-31 Jan 1984,1.17
1-10 Feb 1984,0.676057
11-20 Feb 1984,0.9271001
21-29 Feb 1984,1.302253
1-10 Mar 1984,6.802549
11-20 Mar 1984,24.51555
21-31 Mar 1984,7.614018
1-10 Apr 1984,9.589655
11-20 Apr 1984,9.763198
21-30 Apr 1984,12.46688
1-10 May 1984,6.840186
11-20 May 1984,11.937
21-31 May 1984,7.126291
1-10 Jun 1984,10.7047
11-20 Jun 1984,5.35751
21-30 Jun 1984,25.07879
1-10 Jul 1984,42.1076
11-20 Jul 1984,70.44565
21-31 Jul 1984,48.09929
1-10 Aug 1984,61.10508
11-20 Aug 1984,38.89455
21-31 Aug 1984,11.62609
1-10 Sep 1984,22.07753
11-20 Sep 1984,13.14538
21-30 Sep 1984,7.227727
1-10 Oct 1984,2.83911
11-20 Oct 1984,2.755138
21-31 Oct 1984,2.573106
1-10 Nov 1984,3.897995
11-20 Nov 1984,4.185311
21-30 Nov 1984,2.332832
1-10 Dec 1984,1.526207
11-20 Dec 1984,0.9187939
21-31 Dec 1984,1.164748
1-10 Jan 1985,1.394719
11-20 Jan 1985,1.593456
21-31 Jan 1985,2.16745
1-10 Feb 1985,1.516167
11-20 Feb 1985,2.046513
21-28 Feb 1985,3.005527
1-10 Mar 1985,19.88893
11-20 Mar 1985,8.340185
21-31 Mar 1985,14.81585
1-10 Apr 1985,39.04351
11-20 Apr 1985,17.65791
21-30 Apr 1985,23.63008
1-10 May 1985,28.23483
11-20 May 1985,20.9171
21-31 May 1985,10.95176
1-10 Jun 1985,8.179646
11-20 Jun 1985,30.16591
21-30 Jun 1985,10.08766
1-10 Jul 1985,52.88921
11-20 Jul 1985,63.73106
21-31 Jul 1985,73.81373
1-10 Aug 1985,54.66808
11-20 Aug 1985,36.02158
21-31 Aug 1985,63.71457
1-10 Sep 1985,12.93663
11-20 Sep 1985,6.996846
21-30 Sep 1985,2.042552
1-10 Oct 1985,2.574617
11-20 Oct 1985,1.842485
21-31 Oct 1985,2.067641
1-10 Nov 1985,3.722459
11-20 Nov 1985,4.615772
21-30 Nov 1985,2.079508
1-10 Dec 1985,0.9822121
11-20 Dec 1985,0.5614389
21-31 Dec 1985,0.722271
1-10 Jan 1986,0.9717035
11-20 Jan 1986,1.010665
21-31 Jan 1986,1.330919
1-10 Feb 1986,1.115392
11-20 Feb 1986,1.535154
21-28 Feb 1986,1.769215
1-10 Mar 1986,6.178478
11-20 Mar 1986,4.377731
21-31 Mar 1986,7.121189
1-10 Apr 1986,12.42925
11-20 Apr 1986,14.43364
21-30 Apr 1986,12.34799
1-10 May 1986,7.844919
11-20 May 1986,11.69934
21-31 May 1986,8.491624
1-10 Jun 1986,9.492594
11-20 Jun 1986,63.83973
21-30 Jun 1986,60.77443
1-10 Jul 1986,47.33757
11-20 Jul 1986,91.68125
21-31 Jul 1986,159.7472
1-10 Aug 1986,62.99093
11-20 Aug 1986,42.17381
21-31 Aug 1986,26.54302
1-10 Sep 1986,18.31327
11-20 Sep 1986,11.14964
21-30 Sep 1986,5.881261
1-10 Oct 1986,3.568862
11-20 Oct 1986,1.613165
21-31 Oct 1986,4.882371
1-10 Nov 1986,2.536702
11-20 Nov 1986,2.619299
21-30 Nov 1986,2.248127
1-10 Dec 1986,1.031113
11-20 Dec 1986,0.5726306
21-31 Dec 1986,0.8010225
