"","1","2","3"
"1981",21,41,75
"1982",38,44,75
"1983",33,36,74
"1984",44,50,75
"1985",32,45,75
"1986",62,50,75
"1987",33,32,75
"1988",33,37,75
"1989",56,37,75
"1990",21,39,75
"1991",31,39,75
"1992",25,50,75
"1993",21,29,75
"1994",57,50,75
"1995",11,36,75
"1996",48,40,68
"1997",42,50,75
"1998",30,47,75
"1999",28,48,75
"2000",22,47,75
"2001",61,50,75
"2002",46,39,67
"2003",35,50,75
"2004",43,46,75
"2005",25,50,62
"2006",29,50,75
"2007",57,50,75
"2008",47,37,75
"2009",12,37,75
"2010",33,39,70
"2011",35,36,75
"2012",45,50,64
"2013",50,50,75
"2014",35,42,75
"2015",10,18,68
"2016",37,50,75
"2017",29,50,75
"2018",47,35,75
"2019",59,41,75
"2020",43.5897435897436,48.3846153846154,75
