"","MIXEDVEGg"
"1981",0.268601804855548
"1982",0.316135889804946
"1983",0.288547035846042
"1984",0.259887753205936
"1985",0.251466442672047
"1986",0.277441279948115
"1987",0.295404571663291
"1988",0.25813996534376
"1989",0.247878834450278
"1990",0.263283052395078
"1991",0.253799660916372
"1992",0.264403671193181
"1993",0.26132620817821
"1994",0.323812903718897
"1995",0.306936788006987
"1996",0.229932238207872
"1997",0.239817098772486
"1998",0.292117948595041
"1999",0.289107371169741
"2000",0.319402
"2001",0.2489261
"2002",0.2483442
"2003",0.2609801
"2004",0.2675849
"2005",0.2881189
"2006",0.2578438
"2007",0.2596272
"2008",0.2876102
"2009",0.2687078
"2010",0.2820911
"2011",0.2866361
"2012",0.2883533
"2013",0.2634872
"2014",0.2925918
"2015",0.2581491
"2016",0.2822994
"2017",0.2635401
"2018",0.3095653
"2019",0.2834777
