"","1","2","3"
"1981",48,46,75
"1982",54,33,75
"1983",54,40,75
"1984",75,50,75
"1985",59,47,75
"1986",75,50,75
"1987",75,50,75
"1988",55,39,75
"1989",63,38,75
"1990",35,41,75
"1991",64,50,75
"1992",32,50,75
"1993",47,47,75
"1994",75,50,75
"1995",34,46,75
"1996",65,40,75
"1997",50,50,75
"1998",73,50,75
"1999",58,50,75
"2000",64,50,75
"2001",75,50,75
"2002",63,50,75
"2003",63,50,75
"2004",35,35,75
"2005",43,50,75
"2006",50,50,75
"2007",75,50,75
"2008",50,25,75
"2009",43,30,75
"2010",66,41,75
"2011",73,50,75
"2012",58,50,75
"2013",65,50,75
"2014",54,37,75
"2015",56,50,75
"2016",50,50,75
"2017",61,50,75
"2018",75,50,75
"2019",75,50,75
"2020",75,50,75
