"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1,10,7,5,1,5,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,6,14,0,0,1,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
"4",3,9,28,10,3,6,0,0,70,49,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,17,3,4,4,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4
"6",2,9,0,3.2,1,31,0,3.2,0,27,0,3.2,0,0,15,3.2,0,0,0,3.2,0,0,0,3.2,0,0,0,3.2,0,0,0,3.2,0,0,0,3.2,0,8,3,3.2
"7",23,22,0,11,4,17,70,0,18,12,0,11,0,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,0,0,1,0,9,0,0,0,0,29,8
"8",44,9,25,0,13,66,36,13,64,0,33,50,0,15,0,0,34,0,0,0,76,39,62,0,79,0,0,0,0,0,0,0,0,50,28,0,43,0,0,17
"9",51,19,0,0,20,10,40,1,19,23,0,19,27,17,30,52,0,18,0,0,0,0,0,0,0,44,40,0,17,0,0,0,0,0,0,0,0,4,13,10
"10",26,41,23,0,24,56,40,17,11,24,10,0,18,0,20,18,31,0,0,24,21,31,0,21,0,22,27,21,29,28,13,9,13,39,0,13,0,26,16,18.2564102564103
"11",14,10,20,0,0,9,22,12,12,0,7,0,51,31,0,17,12,4,6,21,0,0,7,0,2,13,0,0,80,19,0,4,0,10,4,11,4,8,7,10.6923076923077
"12",40,13,17,0,57,5,5,5,24,46,0,17,47,0,42,14,12,15,31,42,13,0,5,17,18,23,8,18,138,13,21,15,28,29,3,38,47,25,19,23.3333333333333
