Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,1.0
11-20 Jan 1981,2.0
21-31 Jan 1981,4.0
1-10 Feb 1981,3.0
11-20 Feb 1981,4.0
21-28 Feb 1981,2.0
1-10 Mar 1981,23.0
11-20 Mar 1981,44.0
21-31 Mar 1981,51.0
1-10 Apr 1981,26.0
11-20 Apr 1981,14.0
21-30 Apr 1981,40.0
1-10 May 1981,3.0
11-20 May 1981,17.0
21-31 May 1981,0.0
1-10 Jun 1981,2.0
11-20 Jun 1981,4.0
21-30 Jun 1981,15.0
1-10 Jul 1981,68.0
11-20 Jul 1981,61.0
21-31 Jul 1981,80.0
1-10 Aug 1981,47.0
11-20 Aug 1981,55.0
21-31 Aug 1981,56.0
1-10 Sep 1981,30.0
11-20 Sep 1981,34.0
21-30 Sep 1981,4.0
1-10 Oct 1981,16.0
11-20 Oct 1981,0.0
21-31 Oct 1981,2.0
1-10 Nov 1981,3.0
11-20 Nov 1981,2.0
21-30 Nov 1981,2.0
1-10 Dec 1981,0.0
11-20 Dec 1981,1.0
21-31 Dec 1981,4.0
1-10 Jan 1982,10.0
11-20 Jan 1982,17.0
21-31 Jan 1982,6.0
1-10 Feb 1982,9.0
11-20 Feb 1982,17.0
21-28 Feb 1982,9.0
1-10 Mar 1982,22.0
11-20 Mar 1982,9.0
21-31 Mar 1982,19.0
1-10 Apr 1982,41.0
11-20 Apr 1982,10.0
21-30 Apr 1982,13.0
1-10 May 1982,39.0
11-20 May 1982,14.0
21-31 May 1982,5.0
1-10 Jun 1982,3.0
11-20 Jun 1982,18.0
21-30 Jun 1982,18.0
1-10 Jul 1982,39.0
11-20 Jul 1982,16.0
21-31 Jul 1982,70.0
1-10 Aug 1982,46.0
11-20 Aug 1982,63.0
21-31 Aug 1982,53.0
1-10 Sep 1982,55.0
11-20 Sep 1982,34.0
21-30 Sep 1982,13.0
1-10 Oct 1982,51.0
11-20 Oct 1982,43.0
21-31 Oct 1982,3.0
1-10 Nov 1982,23.0
11-20 Nov 1982,5.0
21-30 Nov 1982,5.0
1-10 Dec 1982,0.0
11-20 Dec 1982,7.0
21-31 Dec 1982,1.0
1-10 Jan 1983,7.0
11-20 Jan 1983,0.0
21-31 Jan 1983,14.0
1-10 Feb 1983,28.0
11-20 Feb 1983,3.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,25.0
21-31 Mar 1983,0.0
1-10 Apr 1983,23.0
11-20 Apr 1983,20.0
21-30 Apr 1983,17.0
1-10 May 1983,4.0
11-20 May 1983,61.0
21-31 May 1983,23.0
1-10 Jun 1983,15.0
11-20 Jun 1983,5.0
21-30 Jun 1983,13.0
1-10 Jul 1983,20.0
11-20 Jul 1983,16.0
21-31 Jul 1983,97.0
1-10 Aug 1983,43.0
11-20 Aug 1983,52.0
21-31 Aug 1983,76.0
1-10 Sep 1983,23.0
11-20 Sep 1983,27.0
21-30 Sep 1983,7.0
1-10 Oct 1983,23.0
11-20 Oct 1983,20.0
21-31 Oct 1983,6.0
1-10 Nov 1983,8.0
11-20 Nov 1983,11.0
21-30 Nov 1983,0.0
1-10 Dec 1983,0.0
11-20 Dec 1983,0.0
21-31 Dec 1983,0.0
1-10 Jan 1984,5.0
11-20 Jan 1984,0.0
21-31 Jan 1984,0.0
1-10 Feb 1984,10.0
11-20 Feb 1984,4.0
21-29 Feb 1984,0.0
1-10 Mar 1984,11.0
11-20 Mar 1984,0.0
21-31 Mar 1984,0.0
1-10 Apr 1984,0.0
11-20 Apr 1984,0.0
21-30 Apr 1984,0.0
1-10 May 1984,9.0
11-20 May 1984,39.0
21-31 May 1984,14.0
1-10 Jun 1984,12.0
11-20 Jun 1984,39.0
21-30 Jun 1984,54.0
1-10 Jul 1984,37.0
11-20 Jul 1984,52.0
21-31 Jul 1984,55.0
1-10 Aug 1984,21.0
11-20 Aug 1984,28.0
21-31 Aug 1984,20.0
1-10 Sep 1984,43.0
11-20 Sep 1984,16.0
21-30 Sep 1984,7.0
1-10 Oct 1984,0.0
11-20 Oct 1984,0.0
21-31 Oct 1984,0.0
1-10 Nov 1984,0.0
11-20 Nov 1984,1.0
21-30 Nov 1984,20.0
1-10 Dec 1984,0.0
11-20 Dec 1984,0.0
21-31 Dec 1984,0.0
1-10 Jan 1985,1.0
11-20 Jan 1985,0.0
21-31 Jan 1985,0.0
1-10 Feb 1985,3.0
11-20 Feb 1985,4.0
21-28 Feb 1985,1.0
1-10 Mar 1985,4.0
11-20 Mar 1985,13.0
21-31 Mar 1985,20.0
1-10 Apr 1985,24.0
11-20 Apr 1985,0.0
21-30 Apr 1985,57.0
1-10 May 1985,49.0
11-20 May 1985,17.0
21-31 May 1985,0.0
1-10 Jun 1985,0.0
11-20 Jun 1985,0.0
21-30 Jun 1985,0.0
1-10 Jul 1985,59.0
11-20 Jul 1985,48.0
21-31 Jul 1985,78.0
1-10 Aug 1985,52.0
11-20 Aug 1985,56.0
21-31 Aug 1985,111.0
1-10 Sep 1985,41.0
11-20 Sep 1985,25.0
21-30 Sep 1985,7.0
1-10 Oct 1985,25.0
11-20 Oct 1985,0.0
21-31 Oct 1985,9.0
1-10 Nov 1985,7.0
11-20 Nov 1985,7.0
21-30 Nov 1985,0.0
1-10 Dec 1985,0.0
11-20 Dec 1985,1.0
21-31 Dec 1985,0.0
1-10 Jan 1986,5.0
11-20 Jan 1986,0.0
21-31 Jan 1986,1.0
1-10 Feb 1986,6.0
11-20 Feb 1986,0.0
21-28 Feb 1986,31.0
1-10 Mar 1986,17.0
11-20 Mar 1986,66.0
21-31 Mar 1986,10.0
1-10 Apr 1986,56.0
11-20 Apr 1986,9.0
21-30 Apr 1986,5.0
1-10 May 1986,5.0
11-20 May 1986,21.0
21-31 May 1986,8.0
1-10 Jun 1986,21.0
11-20 Jun 1986,23.0
21-30 Jun 1986,67.0
1-10 Jul 1986,66.0
11-20 Jul 1986,14.0
21-31 Jul 1986,85.0
1-10 Aug 1986,44.0
11-20 Aug 1986,35.0
21-31 Aug 1986,61.0
1-10 Sep 1986,25.0
11-20 Sep 1986,20.0
21-30 Sep 1986,5.0
1-10 Oct 1986,19.0
11-20 Oct 1986,9.0
21-31 Oct 1986,16.0
1-10 Nov 1986,1.0
11-20 Nov 1986,0.0
21-30 Nov 1986,0.0
1-10 Dec 1986,0.0
11-20 Dec 1986,0.0
21-31 Dec 1986,0.0
1-10 Jan 1987,0.0
11-20 Jan 1987,0.0
21-31 Jan 1987,0.0
1-10 Feb 1987,0.0
11-20 Feb 1987,0.0
21-28 Feb 1987,0.0
1-10 Mar 1987,70.0
11-20 Mar 1987,36.0
21-31 Mar 1987,40.0
1-10 Apr 1987,40.0
11-20 Apr 1987,22.0
21-30 Apr 1987,5.0
1-10 May 1987,20.0
11-20 May 1987,70.0
21-31 May 1987,38.0
1-10 Jun 1987,29.0
11-20 Jun 1987,11.0
21-30 Jun 1987,11.0
1-10 Jul 1987,24.0
11-20 Jul 1987,20.0
21-31 Jul 1987,40.0
1-10 Aug 1987,31.0
11-20 Aug 1987,54.0
21-31 Aug 1987,41.0
1-10 Sep 1987,18.0
11-20 Sep 1987,0.0
21-30 Sep 1987,6.0
1-10 Oct 1987,30.0
11-20 Oct 1987,6.0
21-31 Oct 1987,29.0
1-10 Nov 1987,0.0
11-20 Nov 1987,0.0
21-30 Nov 1987,0.0
1-10 Dec 1987,0.0
11-20 Dec 1987,0.0
21-31 Dec 1987,0.0
1-10 Jan 1988,0.0
11-20 Jan 1988,0.0
21-31 Jan 1988,0.0
1-10 Feb 1988,0.0
11-20 Feb 1988,0.0
21-29 Feb 1988,0.0
1-10 Mar 1988,0.0
11-20 Mar 1988,13.0
21-31 Mar 1988,1.0
1-10 Apr 1988,17.0
11-20 Apr 1988,12.0
21-30 Apr 1988,5.0
1-10 May 1988,0.0
11-20 May 1988,0.0
21-31 May 1988,0.0
1-10 Jun 1988,2.0
11-20 Jun 1988,22.0
21-30 Jun 1988,25.0
1-10 Jul 1988,94.0
11-20 Jul 1988,71.0
21-31 Jul 1988,134.0
1-10 Aug 1988,40.0
11-20 Aug 1988,24.0
21-31 Aug 1988,37.0
1-10 Sep 1988,20.0
11-20 Sep 1988,0.0
21-30 Sep 1988,17.0
1-10 Oct 1988,8.0
11-20 Oct 1988,28.0
21-31 Oct 1988,0.0
1-10 Nov 1988,0.0
11-20 Nov 1988,0.0
21-30 Nov 1988,0.0
1-10 Dec 1988,0.0
11-20 Dec 1988,0.0
21-31 Dec 1988,0.0
1-10 Jan 1989,0.0
11-20 Jan 1989,0.0
21-31 Jan 1989,0.0
1-10 Feb 1989,70.0
11-20 Feb 1989,0.0
21-28 Feb 1989,0.0
1-10 Mar 1989,18.0
11-20 Mar 1989,64.0
21-31 Mar 1989,19.0
1-10 Apr 1989,11.0
11-20 Apr 1989,12.0
21-30 Apr 1989,24.0
1-10 May 1989,0.0
11-20 May 1989,19.0
21-31 May 1989,0.0
1-10 Jun 1989,13.0
11-20 Jun 1989,16.0
21-30 Jun 1989,13.0
1-10 Jul 1989,31.0
11-20 Jul 1989,30.0
21-31 Jul 1989,70.0
1-10 Aug 1989,15.0
11-20 Aug 1989,20.0
21-31 Aug 1989,79.0
1-10 Sep 1989,33.0
11-20 Sep 1989,27.0
21-30 Sep 1989,0.0
1-10 Oct 1989,0.0
