"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,7.96,5.37,53.32,1.43,0,15.35,16.77
1984,16,50.28,32.8,57.8,0,0,3.24,3.24
1985,16,0.92,25.92,75,100,0,0,100
1986,16,25,48.49,62.59,0,0,0,0
1987,16,6.04,8.89,42.79,65.23,0,43.82,109.06
1988,16,29.84,34.62,75,0,0,0,0
1989,16,10.99,33.7,75,0,0,0,0
1990,16,0,0,50,100,0,24.32,124.32
1991,16,36.27,50,67.37,0,0,0,0
1992,16,5.12,0,27.52,96.15,0,85.09,181.25
1993,16,64.45,14.45,40.09,0,0,51.1,51.1
1994,16,18.78,39.26,70.48,0,0,0,0
1995,16,0,17.21,67.21,100,0,0,100
1996,16,50,25,75,0,0,0,0
1997,16,52.87,33.21,75,0,0,0,0
1998,16,8.22,25,75,0,0,0,0
1999,16,27.29,42.56,75,0,0,0,0
2000,16,19.31,28.86,75,0,0,0,0
2001,16,16.64,30.06,68.83,0,0,0,0
2002,16,30.01,34.72,75,0,0,0,0
2003,16,27.23,38.88,75,0,0,0,0
2004,16,13.96,11.55,55.7,0,0,8.91,8.91
2005,16,10.18,35.18,75,0,0,0,0
2006,16,20.34,24.77,46.28,0,0,34.38,34.38
2007,16,21.2,37.7,75,0,0,0,0
2008,16,42.05,25,75,0,0,0,0
2009,16,19.96,29.02,75,0,0,0,0
2010,16,25,50,75,0,0,0,0
2011,16,28.66,23,61.42,0,0,0,0
2012,16,13.91,27.44,63.53,0,0,0,0
2013,16,0,25,75,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,40.58,27.57,43.95,0,0,40.68,40.68
2016,16,57.26,46.77,75,0,0,0,0
2017,16,0,25,75,100,0,0,100
2018,16,66.6,41.6,75,0,0,0,0
2019,16,47.27,43.18,75,0,0,0,0
