Time,NDVI
Jul 1981,0.3678548
Jul 1982,0.221371
Jul 1983,0.2616452
Jul 1984,0.2313871
Jul 1985,0.2315161
Jul 1986,0.2412742
Jul 1987,0.2515645
Jul 1988,0.176129
Jul 1989,0.2549194
Jul 1990,0.2667903
Jul 1991,0.2594678
Jul 1992,0.2303065
Jul 1993,0.2732742
Jul 1994,0.2638549
Jul 1995,0.2488871
Jul 1996,0.3643064
Jul 1997,0.3398871
Jul 1998,0.1921774
Jul 1999,0.2050645
Jul 2000,0.227371
Jul 2001,0.2380806
Jul 2002,0.2015162
Jul 2003,0.1606452
Jul 2004,0.2249032
Jul 2005,0.2734839
Jul 2006,0.2500968
