"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"2-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"3-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"4-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"5-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"6-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"7-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"8-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"9-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"10-Jan",0.0974961,0.2197344,0.1186343,0.1493921,0.1511334,0.1511334,0.1492693,0.1484981,0.1511334,0.1460887,0.1511334,0.1511334,0.147528,0.1493921,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.1511334,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.09453535,0.1717965,0.1825446,0.1825446,0.1825446,0.1825446,0.1825446,0.3576404,0.1825446
"11-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"12-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"13-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"14-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"15-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"16-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"17-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"18-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"19-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
"20-Jan",0.1013897,0.2991145,0.161901,0.1599104,0.1638185,0.161901,0.1638185,0.1326503,0.2212826,0.1638185,0.1638185,0.1638185,0.257649,0.1599104,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.1638185,0.10247,0.3276988,0.10247,0.3102867,0.10247,0.10247,0.10247,0.2210584,0.10247,0.10247,0.2255782,0.10247,0.1862159,0.2005113,0.2005113,0.2005113,0.173112261538462,0.2005113,0.2005113,0.2005113
