"","1","2","3"
"1981",22,43,75
"1982",32,42,75
"1983",25,20,70
"1984",41,44,75
"1985",29,40,75
"1986",66,50,75
"1987",38,33,75
"1988",26,25,75
"1989",61,43,75
"1990",30,39,72
"1991",25,37,75
"1992",36,50,75
"1993",38,32,75
"1994",57,50,75
"1995",0,25,75
"1996",59,48,72
"1997",56,50,75
"1998",30,25,75
"1999",25,50,75
"2000",28,50,75
"2001",69,50,75
"2002",44,46,71
"2003",30,50,75
"2004",25,50,75
"2005",25,50,73
"2006",28,50,75
"2007",63,50,75
"2008",53,32,75
"2009",25,50,75
"2010",47,50,75
"2011",32,47,75
"2012",50,50,75
"2013",50,50,75
"2014",47,50,75
"2015",21,23,73
"2016",34,50,75
"2017",35,50,75
"2018",71,46,75
"2019",71,46,75
"2020",48.6666666666667,50,75
