"","MIXEDET"
"1983",-8.10182915029403
"1984",-0.270893781224949
"1985",30.1951905086198
"1986",34.414492169791
"1987",-29.894991969029
"1988",29.0838822527276
"1989",48.1931946839157
"1990",-3.1183455648614
"1991",6.27619390531788
"1992",21.2211322198703
"1993",37.3078153436667
"1994",55.7114171076795
"1995",28.0854215542826
"1996",36.1318933956006
"1997",8.74450782061583
"1998",73.8936155864427
"1999",52.1462847833632
"2000",11.3
"2001",3.1
"2002",2.1
"2003",36.1
"2004",4.8
"2005",33.5
"2006",49
"2007",71.4
"2008",48.4
"2009",36.3
"2010",60.8
"2011",17.5
"2012",11.2
"2013",46.4
"2014",51.2
