"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.978144,12.6591,2.45679,3.225442,10.42365,4.149753,4.297529,3.868881,3.608248,4.511644,4.772551,5.610191,8.359489,3.128384,3.067862,4.927706,4.926603,33.13744,9.480837,2.959862,2.895061,7.514544,4.902486,4.41761,3.893404,3.436476,4.608867,6.343093,2.885025,3.962507,4.042874,3.153425,5.211149,4.592499,4.487466,6.740367,2.568273,3.389494,3.164519,5.759115
"2",1.773632,11.37924,3.444632,3.490985,4.735354,4.273213,4.407987,4.16087,7.86943,5.017884,4.752388,7.678751,18.56376,3.385937,3.254337,5.550758,4.839565,12.82175,9.74351,3.382924,3.308861,6.231441,5.565118,5.049032,7.401564,3.323381,7.227959,14.70256,3.228169,3.615637,6.535884,3.50996,6.429268,4.684916,4.642033,4.042566,2.693048,3.350209,3.385306,3.999431
"3",1.511124,1.727492,5.970983,4.483334,7.400883,5.692455,5.443128,5.799892,5.620142,7.313894,6.864208,10.14376,11.86508,4.270092,4.420943,6.369113,6.877954,9.7873,13.01385,4.405747,4.309292,8.461252,15.31981,6.575602,5.795322,4.336869,6.817789,8.589121,5.2153,5.246257,6.414291,4.224104,7.251327,6.014447,6.162322,6.126479,3.771476,5.074874,4.495915,8.298594
"4",1.377059,8.669279,8.178942,2.039401,4.955675,6.082314,3.843225,11.72822,12.368,22.81263,5.99878,15.16419,6.279177,4.100858,16.50992,2.82387,5.261908,11.67166,3.061907,2.923296,2.353965,1.981788,4.824034,2.59099,2.792207,2.002749,7.913097,1.836543,1.98246,1.992033,2.306997,1.644895,3.35121,3.917716,4.710936,3.029739,4.413057,3.428176,2.084878,2.61406
"5",2.174861,7.758154,5.620078,1.975604,4.933924,14.05098,3.075345,22.23169,3.093246,14.9626,6.208928,4.49507,6.851033,4.07653,22.11093,3.169762,4.05535,6.698895,2.89024,1.955819,2.406326,2.253814,12.77303,2.667703,2.960077,2.181772,13.56423,2.457911,2.395647,3.792821,2.123769,1.708039,3.285166,7.34232,4.087603,3.408867,50.71144,4.74827,16.60321,3.465865
"6",1.441616,19.70777,3.937208,5.18814156666667,2.992102,10.31832,7.204818,5.18814156666667,3.147519,3.502452,6.32006,5.18814156666667,5.319192,4.608319,4.654356,5.18814156666667,2.021347,4.743289,2.142221,5.18814156666667,1.77075,1.650729,18.9909,5.18814156666667,2.869451,1.620198,2.632332,5.18814156666667,1.36943,1.331444,1.623646,5.18814156666667,2.599792,3.340933,3.063611,5.18814156666667,9.412689,19.15355,2.154203,5.18814156666667
"7",15.27995,27.36366,5.204399,3.973387,5.182597,11.34207,55.58949,3.099111,4.403092,3.947762,9.976181,4.859978,7.94565,15.35683,5.116173,18.35711,3.532338,16.48752,4.480437,3.218213,25.6942,13.89119,7.920318,5.933721,4.99983,4.512067,4.545015,2.639431,5.783147,5.110059,3.842731,3.505414,3.156978,6.527993,4.918077,7.717691,5.847041,3.788609,4.442627,8.96133556410256
"8",19.63855,7.673542,3.206462,12.52855,4.388847,4.115214,14.30061,2.532902,16.26873,2.750286,11.75273,38.65919,33.19674,13.49609,24.54172,30.62641,16.17664,3.208674,3.565039,2.766532,46.29195,3.35796,13.65753,6.687176,27.80385,30.99245,7.719747,2.215374,2.945486,3.692767,22.43038,3.322488,10.9757,33.97779,11.41516,8.258261,9.823889,3.926319,7.394052,13.3918406923077
"9",32.07255,24.55434,9.612028,3.976372,25.15961,4.25306,15.48771,3.052818,36.0451,26.09721,15.64903,13.55498,22.85595,4.190179,16.832,40.73503,21.53722,10.37283,5.038527,6.415267,30.54596,20.84595,19.65497,7.490069,5.199888,34.91415,13.68786,2.671854,21.61986,16.56503,3.014452,39.66701,5.790215,18.80508,16.10453,11.92111,11.04717,3.495609,35.71951,16.8269766153846
"10",5.92626,21.59162,15.68709,6.473192,59.02333,22.32146,69.64449,7.156404,12.16911,12.66243,25.7441,7.313663,42.64498,8.382164,32.03526,11.6655,20.44376,5.708904,8.473383,8.232132,6.886392,41.47562,10.83354,46.22323,9.5207,43.95988,11.28066,10.94439,32.19341,8.13348,12.74029,31.58091,29.78851,55.744,5.726542,35.29103,3.85327,25.04609,27.73187,21.8526422051282
