Time,NDVI
Oct 1981,0.4866452
Oct 1982,0.6182581
Oct 1983,0.3968065
Oct 1984,0.4985484
Oct 1985,0.4694194
Oct 1986,0.5857742
Oct 1987,0.541871
Oct 1988,0.5266129
Oct 1989,0.5213549
Oct 1990,0.3557419
Oct 1991,0.4984194
Oct 1992,0.6676129
Oct 1993,0.4970968
Oct 1994,0.5894517
Oct 1995,0.4392258
Oct 1996,0.3763549
Oct 1997,0.374742
Oct 1998,0.5887097
Oct 1999,0.6213549
Oct 2000,0.6496129
Oct 2001,0.5633872
Oct 2002,0.594613
Oct 2003,0.5173548
Oct 2004,0.5036452
Oct 2005,0.5049033
Oct 2006,0.5166452
