"","MIXEDET"
"1983",7.55352230365074
"1984",10.9641464758221
"1985",31.4725462470353
"1986",47.7565583069985
"1987",14.7804979090663
"1988",39.7661639781313
"1989",46.398567723316
"1990",9.20900497967477
"1991",5.53243153576356
"1992",39.6415595286432
"1993",42.2720658370443
"1994",58.4020334816245
"1995",56.0508769896634
"1996",46.2714068622237
"1997",16.5205483302591
"1998",57.7754652438945
"1999",76.0259350818138
"2000",42.7
"2001",7.4
"2002",1.8
"2003",45.3
"2004",17.8
"2005",43.8
"2006",60.9
"2007",73.7
"2008",67.8
"2009",23
"2010",68.4
"2011",50.1
"2012",42.7
"2013",29.7
"2014",51.7
