"","MIXEDVEGg"
"1981",0.39625018785627
"1982",0.376347233094094
"1983",0.353488084475727
"1984",0.348773021876047
"1985",0.349196959078494
"1986",0.355235444576269
"1987",0.325644592324983
"1988",0.343347549217805
"1989",0.379343565118593
"1990",0.391162728303891
"1991",0.363456736019981
"1992",0.357154723910982
"1993",0.339818409649384
"1994",0.366281184330811
"1995",0.360918725044763
"1996",0.300144281190895
"1997",0.305466637829137
"1998",0.364012454288291
"1999",0.364877556137105
"2000",0.393176
"2001",0.3343121
"2002",0.3448854
"2003",0.3757028
"2004",0.3485991
"2005",0.3323242
"2006",0.3432729
"2007",0.3272939
"2008",0.3062458
"2009",0.3238484
"2010",0.2744061
"2011",0.2775549
"2012",0.3419584
"2013",0.3285332
"2014",0.31769
"2015",0.2763931
"2016",0.3086085
"2017",0.3207799
"2018",0.311133
"2019",0.3601498
