Time,precipitation
1-10 Jan 1981,1.015805
11-20 Jan 1981,1.103484
21-31 Jan 1981,1.449806
1-10 Feb 1981,2.212901
11-20 Feb 1981,1.789076
21-28 Feb 1981,1.113547
1-10 Mar 1981,1.483578
11-20 Mar 1981,2.792042
21-31 Mar 1981,5.45743
1-10 Apr 1981,2.231958
11-20 Apr 1981,3.437353
21-30 Apr 1981,23.02557
1-10 May 1981,3.589639
11-20 May 1981,14.09531
21-31 May 1981,8.378698
1-10 Jun 1981,10.01306
11-20 Jun 1981,20.11473
21-30 Jun 1981,48.43908
1-10 Jul 1981,116.0986
11-20 Jul 1981,88.7298
21-31 Jul 1981,127.0121
1-10 Aug 1981,103.944
11-20 Aug 1981,127.9943
21-31 Aug 1981,93.57364
1-10 Sep 1981,28.83324
11-20 Sep 1981,21.99469
21-30 Sep 1981,13.6763
1-10 Oct 1981,30.77208
11-20 Oct 1981,5.350164
21-31 Oct 1981,5.994863
1-10 Nov 1981,4.878979
11-20 Nov 1981,3.051503
21-30 Nov 1981,7.795033
1-10 Dec 1981,0.9873158
11-20 Dec 1981,1.396933
21-31 Dec 1981,1.290376
1-10 Jan 1982,5.603369
11-20 Jan 1982,2.503722
21-31 Jan 1982,1.94766
1-10 Feb 1982,1.940793
11-20 Feb 1982,4.95419
21-28 Feb 1982,1.598657
1-10 Mar 1982,10.05901
11-20 Mar 1982,5.487872
21-31 Mar 1982,1.678457
1-10 Apr 1982,5.279541
11-20 Apr 1982,4.181152
21-30 Apr 1982,10.28495
1-10 May 1982,30.19995
11-20 May 1982,9.281687
21-31 May 1982,12.24954
1-10 Jun 1982,10.03095
11-20 Jun 1982,25.17341
21-30 Jun 1982,19.20348
1-10 Jul 1982,30.0156
11-20 Jul 1982,38.07967
21-31 Jul 1982,120.7801
1-10 Aug 1982,110.5661
11-20 Aug 1982,89.40331
21-31 Aug 1982,91.60677
1-10 Sep 1982,47.70379
11-20 Sep 1982,8.704872
21-30 Sep 1982,11.72278
1-10 Oct 1982,10.95014
