"","MIXEDVEGg"
"1981",0.2871717352895
"1982",0.291704092423717
"1983",0.263461417330202
"1984",0.235836800226233
"1985",0.282367467382333
"1986",0.250849141145248
"1987",0.249784055100851
"1988",0.288123525178501
"1989",0.284293706391415
"1990",0.28951414288202
"1991",0.27816268558084
"1992",0.290719348297859
"1993",0.266395059696223
"1994",0.301726727601965
"1995",0.262194416333777
"1996",0.247266530226428
"1997",0.254810827971601
"1998",0.278642693418468
"1999",0.276038670058777
"2000",0.2964413
"2001",0.2645134
"2002",0.2554422
"2003",0.2887177
"2004",0.2876604
"2005",0.2626284
"2006",0.2651784
"2007",0.2581847
"2008",0.2545137
"2009",0.2783886
"2010",0.2724435
"2011",0.297629
"2012",0.2798374
"2013",0.3014614
"2014",0.3364325
"2015",0.3497921
"2016",0.3361393
"2017",0.3467559
"2018",0.2899323
"2019",0.3113799
