"","MIXEDVEGg"
"1981",0.365372060300238
"1982",0.401632561247101
"1983",0.296408841535695
"1984",0.361593263181788
"1985",0.291022007196767
"1986",0.367884591196557
"1987",0.369954844873868
"1988",0.330367855956594
"1989",0.360105858350152
"1990",0.249847107227196
"1991",0.32009671838205
"1992",0.410848414659751
"1993",0.292268271870955
"1994",0.394296043309586
"1995",0.298016816446054
"1996",0.269494920629473
"1997",0.284569919077033
"1998",0.372035255100446
"1999",0.389673068709715
"2000",0.4343682
"2001",0.3575532
"2002",0.3639678
"2003",0.3162221
"2004",0.3140662
"2005",0.3051238
"2006",0.3165359
"2007",0.3195881
"2008",0.3553228
"2009",0.3063693
"2010",0.3484307
"2011",0.3573635
"2012",0.323679
"2013",0.3653573
"2014",0.4009272
"2015",0.3148035
"2016",0.324606
"2017",0.357335
"2018",0.3471316
"2019",0.3537441
