Time,precipitation
1-10 Jan 1981,1.571146
11-20 Jan 1981,1.470202
21-31 Jan 1981,1.335398
1-10 Feb 1981,2.171459
11-20 Feb 1981,3.622058
21-28 Feb 1981,2.732523
1-10 Mar 1981,35.58981
11-20 Mar 1981,48.07245
21-31 Mar 1981,74.14273
1-10 Apr 1981,13.59773
11-20 Apr 1981,23.18576
21-30 Apr 1981,23.02252
1-10 May 1981,4.402683
11-20 May 1981,5.676984
21-31 May 1981,4.428491
1-10 Jun 1981,0.6073204
11-20 Jun 1981,0.1614457
21-30 Jun 1981,6.075661
1-10 Jul 1981,69.09795
11-20 Jul 1981,90.09406
21-31 Jul 1981,71.57039
1-10 Aug 1981,77.425
11-20 Aug 1981,68.15856
21-31 Aug 1981,69.89099
1-10 Sep 1981,8.710184
11-20 Sep 1981,25.29429
21-30 Sep 1981,9.775402
1-10 Oct 1981,10.70799
11-20 Oct 1981,3.520117
21-31 Oct 1981,4.61073
1-10 Nov 1981,5.236144
11-20 Nov 1981,5.002642
21-30 Nov 1981,4.863892
1-10 Dec 1981,2.871282
11-20 Dec 1981,2.954153
21-31 Dec 1981,4.375124
1-10 Jan 1982,7.463877
11-20 Jan 1982,7.355478
21-31 Jan 1982,1.340764
1-10 Feb 1982,5.908394
11-20 Feb 1982,12.48099
21-28 Feb 1982,5.084235
1-10 Mar 1982,8.495405
11-20 Mar 1982,5.698912
21-31 Mar 1982,18.54217
1-10 Apr 1982,48.99767
11-20 Apr 1982,30.81663
21-30 Apr 1982,16.30062
1-10 May 1982,21.99664
11-20 May 1982,28.969
21-31 May 1982,5.091769
1-10 Jun 1982,1.379036
11-20 Jun 1982,0.3353641
21-30 Jun 1982,7.418904
1-10 Jul 1982,37.70004
11-20 Jul 1982,29.91409
1-10 Aug 1982,36.06535
11-20 Aug 1982,53.07991
21-31 Aug 1982,51.92491
1-10 Sep 1982,25.93299
11-20 Sep 1982,13.20766
21-30 Sep 1982,28.0235
1-10 Oct 1982,27.45659
11-20 Oct 1982,16.17168
21-31 Oct 1982,6.827047
1-10 Nov 1982,5.612738
11-20 Nov 1982,17.30317
21-30 Nov 1982,14.3098
1-10 Dec 1982,4.124395
11-20 Dec 1982,4.18392
21-31 Dec 1982,3.807178
1-10 Jan 1983,2.093364
11-20 Jan 1983,2.637011
21-31 Jan 1983,4.257992
1-10 Feb 1983,5.388756
11-20 Feb 1983,6.4627
21-28 Feb 1983,5.084235
1-10 Mar 1983,8.495405
11-20 Mar 1983,7.336429
21-31 Mar 1983,20.03465
1-10 Apr 1983,35.08435
11-20 Apr 1983,63.16793
21-30 Apr 1983,47.85832
1-10 May 1983,23.76862
11-20 May 1983,19.76083
21-31 May 1983,42.53527
1-10 Jun 1983,6.028483
11-20 Jun 1983,0.4599445
21-30 Jun 1983,7.418904
1-10 Jul 1983,37.70004
11-20 Jul 1983,29.95761
21-31 Jul 1983,53.0311
1-10 Aug 1983,18.31739
11-20 Aug 1983,27.86722
21-31 Aug 1983,52.64449
1-10 Sep 1983,8.733055
11-20 Sep 1983,14.81535
21-30 Sep 1983,10.38234
1-10 Oct 1983,6.750705
11-20 Oct 1983,5.576318
21-31 Oct 1983,6.827047
1-10 Nov 1983,5.612738
11-20 Nov 1983,7.458
21-30 Nov 1983,6.051688
1-10 Dec 1983,4.134001
11-20 Dec 1983,3.29889
21-31 Dec 1983,3.807178
1-10 Jan 1984,2.693074
11-20 Jan 1984,2.633698
21-31 Jan 1984,4.2652
1-10 Feb 1984,3.275666
11-20 Feb 1984,4.012791
21-29 Feb 1984,7.831777
1-10 Mar 1984,20.60465
11-20 Mar 1984,27.87886
21-31 Mar 1984,9.037659
1-10 Apr 1984,14.69188
11-20 Apr 1984,10.18031
21-30 Apr 1984,10.75445
1-10 May 1984,18.59518
11-20 May 1984,59.14983
21-31 May 1984,32.21035
1-10 Jun 1984,3.374133
11-20 Jun 1984,1.82148
21-30 Jun 1984,10.59265
1-10 Jul 1984,40.89456
11-20 Jul 1984,29.95761
21-31 Jul 1984,61.45039
1-10 Aug 1984,48.00517
11-20 Aug 1984,27.39343
21-31 Aug 1984,23.94094
1-10 Sep 1984,14.66111
11-20 Sep 1984,20.94613
21-30 Sep 1984,18.21721
1-10 Oct 1984,5.851386
11-20 Oct 1984,5.553381
21-31 Oct 1984,6.827047
1-10 Nov 1984,5.612039
11-20 Nov 1984,6.815863
21-30 Nov 1984,5.299902
1-10 Dec 1984,4.136249
11-20 Dec 1984,3.290312
21-31 Dec 1984,3.807178
1-10 Jan 1985,2.696455
11-20 Jan 1985,2.64017
21-31 Jan 1985,4.2652
