"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,15,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,6,2,2,3,0,12,0,0,18,0,1,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0
"6",0,4,0,1.43333333333333,0,0,0,1.43333333333333,0,7,0,1.43333333333333,0,0,3,1.43333333333333,0,0,0,1.43333333333333,0,0,27,1.43333333333333,0,0,0,1.43333333333333,2,0,0,1.43333333333333,0,0,0,1.43333333333333,0,0,0,1.43333333333333
"7",6,6,0,0,0,14,27,0,0,12,26,0,5,4,0,19,7,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,7,0,0,0,0,3,0
"8",16,30,5,9,1,22,17,0,18,0,19,0,0,0,7,0,14,0,0,0,23,0,0,13,16,13,0,0,6,18,0,0,0,31,9,15,0,0,18,0
"9",23,0,0,0,19,0,0,0,28,17,0,0,50,0,29,45,8,1,0,0,20,16,0,0,0,20,13,0,21,0,0,5,0,0,8,7,0,0,0,7
"10",0,22,2,0,42,38,25,7,13,1,9,2,51,0,2,12,14,0,0,4,0,13,0,22,0,54,30,15,5,16,1,5,1,0,0,16,0,3,9,11.1282051282051
"11",7,16,10,6,21,17,10,10,25,0,0,1,25,20,11,11,5,2,0,11,4,2,16,8,1,26,5,3,0,18,0,6,14,0,0,20,0,0,17,8.92307692307692
"12",8,20,21,0,38,8,1,3,17,37,0,0,29,13,20,2,13,6,4,4,15,0,14,5,35,5,5,8,0,13,12,12,8,8,0,32,0,1,0,10.6923076923077
"13",1,8,32,6,36,18,54,0,0,0,34,31,7,6,10,51,3,22,0,30,8,0,0,0,27,32,0,6,0,28,0,23,19,12,32,30,13,1,0,14.8717948717949
"14",13,2,42,10,1,16,37,25,5,0,4,0,65,1,23,38,13,16,0,0,0,5,25,1,18,2,16,7,2,0,9,0,0,10,0,2,43,0,13,11.8974358974359
"15",0,2,19,0,4,9,31,0,0,10,8,0,2,0,4,9,18,1,1,0,4,0,0,0,3,10,0,1,0,0,18,2,0,10,7,0,0,5,4,4.66666666666667
"16",0,3,7,10,0,20,37,10,14,9,4,0,51,25,3,33,6,1,0,3,0,7,1,0,0,0,4,7,0,9,0,0,0,0,0,0,13,13,17,7.87179487179487
"17",2,13,2,14,15,14,7,8,22,0,21,0,9,16,0,25,20,9,2,0,29,21,10,12,11,1,26,17,0,13,15,12,12,9,8,39,7,24,47,13.1282051282051
"18",6,7,0,0,13,66,4,14,25,13,20,9,8,33,6,30,19,39,13,12,27,29,73,30,12,39,27,8,10,3,30,38,28,19,11,16,15,37,18,20.6923076923077
"19",130,21,5,21,39,59,91,54,30,17,66,17,79,59,46,26,74,84,88,44,51,18,46,23,38,25,70,39,30,8,36,21,42,37,38,40,43,27,45,44.2820512820513
"20",77,39,51,48,68,64,48,113,63,66,77,59,52,74,115,52,54,68,83,31,71,35,23,58,30,47,89,29,35,112,71,77,65,58,58,122,74,43,77,63.4871794871795
"21",97,105,140,52,40,66,10,167,35,72,70,78,78,51,117,36,96,139,86,141,146,63,62,34,51,100,105,61,120,52,102,78,101,90,79,135,46,102,69,83.8974358974359
"22",62,43,111,47,63,69,64,125,51,50,34,93,34,36,80,67,40,106,92,80,94,129,83,122,98,105,67,57,35,83,65,93,39,80,85,84,74,80,60,73.8461538461538
"23",86,85,50,22,40,36,107,143,50,27,99,83,11,161,97,56,42,81,121,66,109,50,65,91,51,47,53,41,51,100,37,42,59,64,56,60,69,121,53,68.7692307692308
"24",57,93,65,6,81,98,51,57,17,20,56,59,72,112,71,107,23,117,126,61,51,33,74,25,136,137,49,23,83,104,38,54,67,99,72,43,71,77,47,67.4871794871795
"25",20,24,16,28,28,32,27,23,30,19,22,16,27,62,52,18,10,49,28,12,15,31,21,2,41,37,48,43,9,36,20,42,25,43,14,31,85,75,60,31.3076923076923
"26",14,10,17,9,7,7,4,26,7,7,3,3,1,3,3,7,5,6,1,11,5,7,8,3,23,0,21,0,0,20,0,2,0,23,4,2,16,11,23,8.17948717948718
"27",0,5,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0.974358974358974
"28",2,12,0,0,0,0,4,4,0,0,36,5,0,0,0,0,4,13,6,7,3,0,1,0,0,0,0,0,15,0,0,0,11,0,0,0,1,0,3,3.25641025641026
"29",0,10,0,0,0,0,0,9,15,0,0,4,0,0,0,0,20,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,7,2,0,2,0,3,1,2.07692307692308
"30",0,0,0,0,3,6,0,0,0,0,0,3,16,0,3,0,55,0,0,15,0,0,0,0,0,7,0,17,0,0,0,14,0,0,0,0,0,0,0,3.56410256410256
"31",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,9,6,0,0,2,0,0,2,4,2.1025641025641
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,1,0,1.23076923076923
"33",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,12,1.48717948717949
"34",0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.384615384615385
"35",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103
"36",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
