"","1","2","3"
"1981",8,31,75
"1982",23,28,71
"1983",9,5,55
"1984",24,21,71
"1985",28,38,75
"1986",59,50,75
"1987",36,29,60
"1988",32,39,75
"1989",61,50,75
"1990",22,30,67
"1991",45,45,75
"1992",9,26,67
"1993",42,33,75
"1994",66,50,75
"1995",9,31,75
"1996",75,50,75
"1997",45,44,75
"1998",35,50,75
"1999",15,38,75
"2000",15,37,75
"2001",50,50,75
"2002",53,43,68
"2003",36,50,73
"2004",37,48,73
"2005",23,37,75
"2006",26,50,75
"2007",54,50,75
"2008",32,33,75
"2009",10,35,75
"2010",25,11,58
"2011",40,50,75
"2012",37,46,71
"2013",37,50,75
"2014",28,44,75
"2015",19,36,75
"2016",41,41,75
"2017",35,40,75
"2018",62,50,75
"2019",60,43,75
"2020",41.6923076923077,45.6923076923077,75
