Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.606451612903226,0.606451612903226,0.606451612903226,0,16,0,1.7852394916911,1.7852394916911,0,1.7852394916911,0,0,1.17878787878788,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0
6,1.61111111111111,14.5,2.70228758169935,2.1640522875817,1.61111111111111,0,1.61111111111111,2.14934640522876,1.61111111111111,0.552941176470588,1.61111111111111,1.61111111111111,2.14934640522876,0,1.61111111111111,1.61111111111111,1.61111111111111,0,1.61111111111111,1.61111111111111,20.4111111111111,0,1.61111111111111,1.61111111111111,1.61111111111111,0,19.9111111111111,1.61111111111111,1.61111111111111,0,1.61111111111111,1.61111111111111,1.61111111111111,0,1.61111111111111,1.61111111111111,1.61111111111111
7,0,0,2.86764705882353,5.15336134453781,17.6,0,0,2.86764705882353,10.4,0,18.8,2.28571428571428,0,37.8,21.2,0,0,0,0,10.4,0,0,0,23.7,0,0,10.4,0,0,0,0,16.8,0,0,0,0,10.4
8,3.50285714285714,13.8,6.98285714285715,23.7,3.48,0,11.4,0,13.1,0,0,0,13.1,0,7.2,0,0,0,10.5,0,0,8.3,28.9,33.5,0,0,7.8,13.8,0,0,0,21.6,8.3,7,0,0,22.4
9,0,0,4.05142857142857,0,0,0,31.6,9.4,0,0,20.5,4.05142857142857,10.1,46,10.1,10.1,0,0,8.1,24.2,0,0,0,9.4,19.4,0,26.3,0,0,28.6,0,0,13.2,9.1,0,0,9.4
10,4.37714285714287,0,10.7235294117647,14.8,13.4,12.8,7.2,9.4,5.5,4.5,14.1,4.12352941176471,8.50067226890757,8.5,25.1,0,0,40.9,0,19.5,0,17.2,0,9.2,13.1,6.4,6.5,7.8,7.9,7.2,4.1,0,0,13.4,0,5.9,12.4
11,21.7,13.1,2.7,19.2,14.7,11.7,14,0,0,3.7,10.5638888888889,3.4,21.4,16.8,5.7,18.4,3.7,23.4,2.4,5,4,18.4,12.6,11.1,9.8,12.7,2.7,22.7,0,23.7,24.9,0,0,16.8,0,5.8,14.1
