"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,11,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5,6,10,0,0,2,0,0,1,3,0,0,0,0,0,0,25,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,8,17,2,1,2,0,0,33,27,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3,8,3,2,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,2,0,2.46666666666667,0,25,0,2.46666666666667,0,13,0,2.46666666666667,0,0,9,2.46666666666667,0,0,0,2.46666666666667,0,0,0,2.46666666666667,0,0,0,2.46666666666667,0,0,0,2.46666666666667,0,0,0,2.46666666666667,0,16,8,2.46666666666667
"7",23,31,0,0,6,14,95,0,40,17,0,16,0,13,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,16,0,0,0,21,0,0,0,0,24,9
"8",27,5,23,0,13,49,16,8,57,0,0,15,0,19,0,0,0,0,0,0,51,0,0,0,37,52,0,0,0,27,118,0,0,40,0,0,32,0,0,26
"9",60,30,0,0,6,0,69,9,37,40,0,22,0,19,0,64,11,8,0,0,0,38,0,23,0,35,40,0,33,0,0,40,0,0,0,0,0,0,15,11
"10",26,36,40,0,25,80,68,16,21,21,17,10,39,2,10,11,35,0,0,26,29,36,0,42,0,25,30,43,28,33,13,18,0,37,0,18,0,25,20,22.5641025641026
"11",21,11,29,0,9,13,22,18,40,0,6,6,64,28,8,32,19,6,10,50,0,0,18,21,17,23,32,0,45,39,3,4,15,8,0,38,9,8,26,17.8974358974359
"12",48,6,13,0,66,10,2,0,51,48,0,55,49,0,40,21,17,11,20,57,19,0,16,14,27,19,12,11,79,13,24,17,14,33,2,38,52,32,32,24.8205128205128
"13",6,45,12,0,60,18,22,5,0,5,41,17,9,23,4,35,10,35,4,17,17,11,2,19,22,23,0,46,0,37,8,10,18,46,48,97,49,8,0,21.2564102564103
"14",23,11,46,36,27,45,63,0,17,0,6,9,60,30,48,45,14,35,0,0,23,0,0,2,17,4,44,10,6,25,23,0,14,0,2,20,82,19,6,20.8205128205128
"15",4,9,64,29,14,11,95,1,11,0,10,5,28,6,23,26,36,18,22,0,23,3,0,0,4,23,36,36,4,19,75,0,16,59,47,6,39,33,48,22.6410256410256
"16",6,5,20,17,0,24,55,24,10,19,27,21,84,26,6,124,19,21,22,8,46,14,13,0,0,29,19,73,6,26,5,13,15,0,12,21,0,94,90,26
