"","MIXEDVEGg"
"1981",0.344380988287513
"1982",0.338229385561026
"1983",0.287996652160927
"1984",0.239926023891595
"1985",0.304411392990751
"1986",0.272597964982246
"1987",0.259341751406515
"1988",0.333263243873735
"1989",0.329911770932066
"1990",0.329588827416013
"1991",0.308826191521193
"1992",0.346988123550111
"1993",0.290225709591786
"1994",0.354140006336983
"1995",0.295971691746015
"1996",0.242556795123008
"1997",0.271388965643528
"1998",0.322106089900384
"1999",0.311677548849991
"2000",0.3508914
"2001",0.2794681
"2002",0.2629734
"2003",0.3311138
"2004",0.3212573
"2005",0.3025445
"2006",0.2973791
"2007",0.2916758
"2008",0.2948518
"2009",0.316906
"2010",0.2974614
"2011",0.3029703
"2012",0.2889438
"2013",0.3062603
"2014",0.3368061
"2015",0.3128105
"2016",0.3072242
"2017",0.345227
"2018",0.3041916
"2019",0.3175294
