"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,67.69,50,75,0,0,0,0
1984,16,25,50,75,72.5,0,0,72.5
1985,16,67.04,50,75,0,0,0,0
1986,16,68.64,50,75,0,0,0,0
1987,16,75,50,75,0,0,0,0
1988,16,75,50,75,0,0,0,0
1989,16,75,50,75,0,0,0,0
1990,16,50.19,44.12,75,9.52,0,0,9.52
1991,16,18.04,25,75,89.89,0,0,89.89
1992,16,75,50,75,0,0,0,0
1993,16,75,50,75,0,0,0,0
1994,16,50,50,75,10,0,0,10
1995,16,75,50,75,0,0,0,0
1996,16,70.8,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,65.23,41.87,75,0,0,0,0
1999,16,63.6,50,75,0,0,0,0
2000,16,63.5,50,75,0,0,0,0
2001,16,50,30.29,55.29,10,0,63.58,73.58
2002,16,38.96,28.72,75,37.6,0,0,37.6
2003,16,72.56,50,57.61,0,0,56.11,56.11
2004,16,28.69,50,75,63.28,0,0,63.28
2005,16,70.2,50,75,0,0,0,0
2006,16,65.56,50,75,0,0,0,0
2007,16,69.29,46.93,75,0,0,0,0
2008,16,68.11,50,75,0,0,0,0
2009,16,75,50,75,0,0,0,0
2010,16,71.72,50,75,0,0,0,0
2011,16,74.56,33.47,58.47,0,0,53.31,53.31
2012,16,75,50,75,0,0,0,0
2013,16,32.24,46.59,71.59,54.41,0,10.99,65.4
2014,16,42.92,50,75,27.69,0,0,27.69
2015,16,75,50,75,0,0,0,0
2016,16,75,50,75,0,0,0,0
2017,16,63.23,50,75,0,0,0,0
2018,16,75,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
