Time,precipitation
1-10 Jan 1981,1.487963
11-20 Jan 1981,1.46955
21-31 Jan 1981,1.507394
1-10 Feb 1981,0.5565666
11-20 Feb 1981,0.6256878
21-28 Feb 1981,1.000373
1-10 Mar 1981,5.338148
11-20 Mar 1981,10.43682
21-31 Mar 1981,15.53539
1-10 Apr 1981,3.042672
11-20 Apr 1981,5.145671
21-30 Apr 1981,8.884799
1-10 May 1981,4.61315
11-20 May 1981,26.92777
21-31 May 1981,8.651348
1-10 Jun 1981,6.199461
11-20 Jun 1981,14.70042
21-30 Jun 1981,32.54348
1-10 Jul 1981,148.3478
11-20 Jul 1981,76.09738
21-31 Jul 1981,101.5135
1-10 Aug 1981,89.30377
11-20 Aug 1981,145.8637
21-31 Aug 1981,108.1421
1-10 Sep 1981,30.99146
11-20 Sep 1981,28.14537
21-30 Sep 1981,15.40187
1-10 Oct 1981,11.74796
11-20 Oct 1981,2.004809
21-31 Oct 1981,1.797916
1-10 Nov 1981,2.239748
11-20 Nov 1981,1.685378
21-30 Nov 1981,2.152052
1-10 Dec 1981,1.080474
11-20 Dec 1981,1.399716
21-31 Dec 1981,1.311405
1-10 Jan 1982,2.899696
11-20 Jan 1982,2.751598
21-31 Jan 1982,1.450469
1-10 Feb 1982,2.631251
11-20 Feb 1982,1.051149
21-28 Feb 1982,2.453493
1-10 Mar 1982,8.82696
11-20 Mar 1982,10.779
21-31 Mar 1982,4.288833
1-10 Apr 1982,12.95012
11-20 Apr 1982,6.964643
21-30 Apr 1982,21.55415
1-10 May 1982,23.16723
11-20 May 1982,30.87184
21-31 May 1982,15.41404
1-10 Jun 1982,8.254878
11-20 Jun 1982,29.15863
21-30 Jun 1982,7.848609
1-10 Jul 1982,22.07625
11-20 Jul 1982,37.83551
21-31 Jul 1982,95.15259
1-10 Aug 1982,70.03526
11-20 Aug 1982,99.6836
21-31 Aug 1982,78.46712
1-10 Sep 1982,27.49279
11-20 Sep 1982,9.342362
21-30 Sep 1982,20.62595
1-10 Oct 1982,8.344219
11-20 Oct 1982,3.769918
21-31 Oct 1982,1.258477
1-10 Nov 1982,1.822412
11-20 Nov 1982,2.323828
21-30 Nov 1982,2.377883
1-10 Dec 1982,1.30757
11-20 Dec 1982,1.010365
21-31 Dec 1982,1.359101
1-10 Jan 1983,1.276648
11-20 Jan 1983,3.387136
21-31 Jan 1983,1.590931
1-10 Feb 1983,1.103447
11-20 Feb 1983,1.054512
21-28 Feb 1983,1.620792
1-10 Mar 1983,2.961493
11-20 Mar 1983,4.481038
21-31 Mar 1983,2.67101
1-10 Apr 1983,2.236997
11-20 Apr 1983,1.923529
21-30 Apr 1983,7.520346
1-10 May 1983,21.34134
11-20 May 1983,27.83561
21-31 May 1983,12.20787
1-10 Jun 1983,28.73376
11-20 Jun 1983,9.354237
21-30 Jun 1983,11.37608
1-10 Jul 1983,27.67173
11-20 Jul 1983,71.9574
21-31 Jul 1983,116.6864
1-10 Aug 1983,85.09167
11-20 Aug 1983,72.94024
21-31 Aug 1983,143.8895
1-10 Sep 1983,30.48465
