"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.216043,6.504095,1.155724,1.34954,1.572063,1.386122,2.188664,1.346531,1.51385,1.739217,1.896208,1.804208,1.263092,1.369606,1.17266,1.939471,1.446247,3.139413,2.180863,1.208945,1.212733,2.560192,1.266802,1.40675,1.706329,1.324058,2.397121,1.231313,1.079625,1.759721,2.572617,1.405364,1.227378,1.416948,0.9039481,1.010007,0.8748249,0.8065977,1.705732,0.7518387
"2",1.251048,2.831665,1.145402,1.226951,1.46323,1.245783,1.988775,1.323711,2.31721,1.646611,1.51657,1.779629,1.629572,1.242404,1.110804,1.898774,1.258794,1.954564,2.151931,1.068913,1.072262,2.192414,1.119948,1.243673,1.493055,1.082891,2.501472,3.799911,0.9941386,1.736988,2.530987,1.271288,1.123444,1.25839,0.8226424,0.7061583,0.7667023,0.7769581,0.8028654,0.7638454
"3",1.732186,2.180506,2.072273,1.944208,2.244054,1.932566,2.890856,1.992869,2.291829,2.617916,2.388263,2.494199,1.682239,1.916991,1.785319,2.894347,1.827089,2.251792,3.336155,1.696156,1.70147,3.609421,1.777133,1.97346,2.951617,1.605419,5.995492,1.72154,2.020868,3.004196,2.948004,1.918616,1.978622,2.525041,1.710774,1.721299,1.754283,1.794824,1.650605,2.027548
"4",3.091869,5.56869,5.525989,2.797554,4.08835,3.475984,3.576601,9.944075,4.514774,8.080015,4.381526,3.841839,3.608607,3.926025,4.275159,3.461145,2.902482,7.400997,2.801421,2.800347,3.387439,3.660491,6.824651,5.475548,3.882151,3.065531,3.753193,2.751727,4.09533,3.062541,2.972179,2.984382,4.829203,3.677497,5.378073,3.581619,4.395687,5.418597,2.891794,3.604691
"5",2.597682,4.803005,4.890334,2.91405,4.25913,4.13309,3.509539,14.51729,3.356255,5.839189,4.561864,3.73564,3.817133,4.147989,4.766145,3.553772,3.840039,4.171827,2.827242,3.05812,3.812064,4.21402,7.680046,6.161848,6.079492,3.35804,3.860223,3.716468,4.786147,3.399645,3.130348,3.226427,3.068533,5.175988,4.778341,4.232548,29.25692,7.159982,13.28456,5.221348
"6",2.068308,2.71865,3.290964,3.03730226666667,2.73996,3.05036,3.127109,3.03730226666667,2.589307,2.109615,2.497869,3.03730226666667,3.675495,6.108528,4.960433,3.03730226666667,2.144431,3.106303,1.953347,3.03730226666667,2.272082,2.57536,4.57754,3.03730226666667,2.603899,1.965891,2.352662,3.03730226666667,2.45131,1.589041,1.888963,3.03730226666667,1.961318,2.596514,3.00838,3.03730226666667,3.814061,5.295553,6.025815,3.03730226666667
"7",5.598171,23.11445,2.664577,10.78781,13.87842,6.264047,19.27958,3.833362,6.710768,6.361362,6.248806,3.628523,10.27153,5.43611,4.433248,8.339091,14.72679,5.996704,3.236719,4.354865,7.527007,11.75042,13.76841,9.00833,7.958941,4.558097,4.019012,3.388861,13.88372,5.455204,6.440188,10.14974,7.532164,33.28928,5.882839,4.506728,8.737659,6.340903,9.029724,8.67672205128205
"8",9.047385,14.31636,3.094033,3.433519,6.066767,4.459371,5.115254,3.43499,26.09893,4.918591,6.974049,7.077925,11.88702,5.318801,5.594175,6.324912,33.02713,4.564845,3.153451,4.105305,9.587165,6.179901,8.361795,8.486919,28.00116,6.775578,3.133078,3.354819,6.290527,7.891025,23.89945,5.078069,9.085951,54.01145,7.951715,4.87297,6.666479,6.567405,17.88126,10.0535776666667
"9",13.76348,4.716706,3.735389,3.172833,19.57036,8.02173,7.580933,3.672294,10.72784,10.47147,13.91453,5.170234,27.18476,5.279468,8.919498,25.41626,13.33804,17.53774,3.599269,4.814266,8.321046,22.78308,7.153479,9.951572,10.07863,5.663023,7.205486,3.684792,11.01315,5.810468,5.68281,19.79469,4.565584,4.992926,11.39617,7.535914,6.86056,9.568681,9.322054,9.79464653846154
"10",3.805521,5.81117,6.604641,5.39158,12.71469,7.798556,14.63011,10.87784,9.481052,8.00229,9.74675,5.125798,13.49612,6.217323,8.96484,15.99089,21.48918,4.524648,7.090306,14.50373,7.135269,11.61474,9.706116,19.38473,6.4204,8.087126,7.072913,19.38558,4.116381,12.02658,10.05871,6.993045,4.472723,9.314193,5.57443,10.67155,7.708478,10.52167,7.961199,9.49981712820513
