"","MIXEDVEGg"
"1981",0.329695034818299
"1982",0.304282540522581
"1983",0.313325588470402
"1984",0.307068792101496
"1985",0.304788435735398
"1986",0.328091213962937
"1987",0.302179286778888
"1988",0.334671373987494
"1989",0.322369946348861
"1990",0.323691244274942
"1991",0.313892293574442
"1992",0.312706340592949
"1993",0.305674196278766
"1994",0.326101589424792
"1995",0.327231346381868
"1996",0.323012671094323
"1997",0.321416913589783
"1998",0.323715827306602
"1999",0.334456137828706
"2000",0.3132719
"2001",0.3101468
"2002",0.3315687
"2003",0.3289617
"2004",0.3229705
"2005",0.3285731
"2006",0.3088415
"2007",0.3571304
"2008",0.2961326
"2009",0.3421501
"2010",0.3034303
"2011",0.3234645
"2012",0.3261517
"2013",0.330966
"2014",0.292956
"2015",0.2580014
"2016",0.3350652
"2017",0.3350044
"2018",0.3286577
"2019",0.3265285
