"","MIXEDVEGg"
"1981",0.132613716369362
"1982",0.11099153998031
"1983",0.116661580629457
"1984",0.128062863261372
"1985",0.14057888834201
"1986",0.199329458197153
"1987",0.157593346964994
"1988",0.115940283069512
"1989",0.146130862999456
"1990",0.143328665887911
"1991",0.119074723736213
"1992",0.130930652590528
"1993",0.139153748341187
"1994",0.138156963467276
"1995",0.169156333386276
"1996",0.199889051967731
"1997",0.189742477987738
"1998",0.134021401251118
"1999",0.154174691424792
"2000",0.1594748
"2001",0.1954836
"2002",0.1608001
"2003",0.1251888
"2004",0.120369
"2005",0.1421761
"2006",0.1392959
"2007",0.1800982
"2008",0.150658
"2009",0.1246091
"2010",0.1288565
"2011",0.1674179
"2012",0.1877172
"2013",0.1677267
"2014",0.1433962
"2015",0.1371151
"2016",0.1703897
"2017",0.1663458
"2018",0.1415796
"2019",0.1766506
