"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,28.39,2.7,51.36,0,0,10.12,10.12
1984,16,11.26,8.14,41.92,0,0,36.33,36.33
1985,16,9.07,21.72,67.45,0,0,0,0
1986,16,50,50,75,0,0,0,0
1987,16,56.86,31.86,55.03,0,0,0,0
1988,16,8.03,25,75,0,0,0,0
1989,16,3,17.33,67.33,100,0,0,100
1990,16,11.19,11.19,50,0,0,13.89,13.89
1991,16,8.54,13.69,63.69,0,0,0,0
1992,16,0,5.07,55.07,100,0,0,100
1993,16,26.4,25.37,75,0,0,0,0
1994,16,30.39,25,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,43.47,30.36,73.71,0,0,0,0
1997,16,40.2,38.02,52.06,0,0,8.15,8.15
1998,16,35.85,50,75,0,0,0,0
1999,16,0.8,25.8,75,100,0,0,100
2000,16,27.2,50,75,0,0,0,0
2001,16,0,24.16,74.16,100,0,0,100
2002,16,3.68,0,23.53,100,0,87.43,187.43
2003,16,9.61,10.42,34.24,0,0,57.68,57.68
2004,16,7.54,11.83,54.3,0,0,1.95,1.95
2005,16,12.12,21.06,58.94,0,0,0,0
2006,16,28.53,26.89,42.22,0,0,35.51,35.51
2007,16,0,25,75,100,0,0,100
2008,16,10.42,11.82,61.82,0,0,0,0
2009,16,0,17.48,62.73,100,0,0,100
2010,16,2.24,18.17,65.93,100,0,0,100
2011,16,46.45,46.45,71.39,0,0,0,0
2012,16,24.97,44.92,75,0,0,0,0
2013,16,3.64,26.69,73.04,100,0,0,100
2014,16,5.47,28.4,68.01,0,0,0,0
2015,16,23.33,28.76,74.64,0,0,0,0
2016,16,40.47,37.28,62.28,0,0,0,0
2017,16,7.88,32.59,65.91,0,0,0,0
2018,16,17.34,25,75,0,0,0,0
2019,16,33.39,22.95,55.24,0,0,0,0
