"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",3.145063,14.82978,4.255797,5.718856,6.161999,5.717382,5.719206,5.031674,5.717382,5.754118,5.717382,5.717382,5.720679,5.718856,5.717382,5.717382,5.717382,10.44555,5.80516,5.717382,5.717382,5.905852,5.717382,5.717382,5.717382,5.717382,5.717382,5.717382,5.717382,9.207234,5.717382,5.717382,5.448162,5.381269,5.381269,5.585056,5.481,5.381269,5.381269,6.16775
"2",3.395701,17.8594,6.475468,6.477824,6.473409,6.475468,6.473409,4.783027,11.63632,6.473409,6.473409,6.473409,11.4063,6.477824,6.473409,6.473409,10.50622,6.473409,6.473409,6.473409,6.473409,6.473409,6.830927,7.553348,6.83978,6.473409,7.862877,14.32771,6.473409,6.473409,6.581862,6.473409,8.397939,5.934289,5.934289,5.934289,,5.934289,5.934289,5.934289
"3",2.503541,2.516522,8.150354,8.146703,8.146703,8.150354,8.152959,8.146703,8.146703,8.146703,8.146703,9.06511,8.152959,8.149307,8.146703,10.42258,8.168351,8.146703,8.146703,8.146703,8.146703,8.146703,16.67179,10.27349,8.146703,8.146703,8.146703,8.146703,9.16821,8.146703,8.146703,8.146703,7.684363,7.613128,7.613128,7.613128,7.613128,7.613128,7.613128,7.613128
"4",2.545945,7.538705,6.325264,3.984509,6.325264,6.325264,6.325264,6.341702,16.00276,16.52848,6.325264,11.68881,6.445194,6.307562,8.849438,6.325264,8.385544,11.83088,6.325264,6.325264,6.118265,6.093602,6.093602,6.093602,6.093602,6.093602,6.768414,6.093602,6.093602,6.502283,6.093602,6.093602,5.200682,5.367775,5.367775,5.367775,5.367775,5.367775,5.367775,5.367775
"5",3.989044,13.077,6.578337,4.033008,6.559911,8.229115,5.419966,14.77656,4.309586,18.84809,6.578337,6.578337,6.559911,6.542653,14.03316,6.578337,6.578337,6.591704,6.578337,6.337317,6.337317,6.337317,9.291478,6.337317,6.690635,6.337317,17.98668,6.337317,6.337317,6.797261,6.337317,6.337317,5.399651,5.913812,5.913812,5.913812,24.16071,5.953089,13.17183,5.913812
"6",2.653107,10.61008,4.780242,6.588776,3.9147,5.590937,5.030999,4.958352,4.774096,5.390753,11.03273,6.2003,7.181561,4.774096,4.865891,4.958352,4.780242,4.780242,4.780242,4.657464,4.18063,4.130598,11.56125,4.657464,4.385359,4.130598,4.130598,4.657464,4.133101,4.130598,4.130598,4.657464,3.635576,4.360346,4.360346,7.862772,5.837471,10.37076,4.786828,4.639702
"7",34.28663,21.59612,12.94666,15.8793,10.47802,8.202827,32.97584,7.765382,9.838434,8.051911,15.17158,5.360802,7.765382,15.28189,9.115019,10.75365,19.32956,17.29064,7.855852,7.83673,17.6047,25.12834,7.765382,7.765382,7.962668,9.702375,7.765382,7.765382,12.83847,8.661256,7.831119,7.765382,7.198656,9.274996,8.030278,14.32573,9.658577,8.110582,8.989022,9.264772
"8",47.53932,5.034688,7.5896,22.54688,6.455312,4.776935,15.48903,6.435748,26.15389,6.455312,11.14929,24.95168,17.29953,23.45506,12.02717,19.38455,23.54847,7.520448,6.455312,6.455312,32.04438,6.658476,10.81009,8.794116,43.93298,36.29562,17.81625,6.455312,6.455312,8.0573,16.94715,6.455312,10.13036,27.46304,12.67507,8.512251,13.96754,6.015413,15.79425,9.179408
"9",64.42629,17.9663,17.98231,9.603556,22.74708,13.12368,21.0317,7.536024,39.95389,24.43747,19.04389,18.9153,16.29285,14.84025,13.37016,32.97076,28.35303,19.25019,7.655753,13.23947,18.34142,34.89605,23.89209,8.287688,8.10336,33.51164,29.32806,7.536024,34.7212,19.30579,7.536024,40.52785,11.71674,30.20987,16.98526,13.32074,19.0257,6.635286,46.06856,9.411844
"10",11.14328,40.40737,37.37282,10.52679,51.65926,27.05008,48.39427,12.00224,10.58599,30.44119,17.6698,14.69599,43.08366,10.52142,32.79609,12.83352,44.80539,10.56791,10.58599,13.3731,10.58599,72.37439,11.05205,49.29848,10.58599,34.60683,23.98417,10.69809,44.63536,11.60769,38.81905,32.17807,33.25776,41.13976,8.515594,29.40185,8.515594,17.84745,38.00638,8.865556
