"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,8,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,6,0
"6",0,5,0,0.733333333333333,0,5,0,0.733333333333333,0,8,0,0.733333333333333,0,0,2,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,2,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333
"7",22,16,0,8,8,17,27,0,19,14,31,0,0,4,0,31,24,0,0,0,0,18,0,0,0,3,0,0,0,24,0,0,0,12,0,0,0,0,0,0
"8",30,18,21,14,5,22,14,0,23,0,24,0,14,0,18,0,22,0,0,0,39,0,0,0,37,33,0,0,0,0,41,0,23,35,24,28,0,7,6,0
"9",53,7,0,0,30,0,0,0,29,26,0,0,35,6,0,51,17,24,0,17,64,49,0,0,36,12,7,0,16,25,0,69,46,0,30,0,22,2,10,0
"10",27,29,17,0,47,69,54,33,0,11,35,8,86,7,33,27,40,0,0,25,13,24,0,78,0,32,30,12,10,24,5,7,20,35,0,35,0,18,21,23.3846153846154
"11",21,30,48,15,30,30,17,57,36,4,0,11,36,22,67,44,7,11,7,40,0,5,47,43,37,30,22,7,6,64,0,16,35,4,0,26,0,3,45,23.6666666666667
"12",21,26,40,0,58,14,4,6,22,49,19,6,54,34,30,25,28,24,6,23,44,0,22,11,71,13,2,11,0,24,13,30,12,7,0,49,0,18,13,21.2564102564103
"13",5,29,45,29,42,36,44,0,8,0,39,73,11,16,24,50,2,51,9,41,46,18,0,10,20,68,0,28,0,51,0,29,10,23,54,68,20,1,0,25.6410256410256
"14",26,30,52,40,24,28,54,40,19,0,0,12,62,22,55,50,23,15,0,0,0,0,8,0,16,6,9,37,22,12,39,2,18,47,0,17,55,1,31,22.3589743589744
"15",5,9,54,13,7,15,80,5,2,15,13,7,0,0,18,55,33,0,0,3,0,0,0,7,32,7,4,5,0,0,47,0,0,33,19,0,0,6,10,12.9230769230769
