"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.2559463,4.95093,0.3959041,1.357715,0.8986115,1.451351,0,0,0,0.8873479,0,0,0,0.5480777,0,0,0,2.192173,5.45294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.819546,2.402338
"2",0.1783734,8.441561,0,0,0,0,0,0,0,0,0,0,0.6673722,0,0,0,0,0,5.01848,0,0,0,0,2.694262,0,0,0,5.187922,0,0,0,0,0,0,0,0,0,0,0,0
"3",3.344019,5.384635,10.05736,0,0,0.9673432,0,0,0.5334201,3.990069,0,0,0,0,0,0,0,0,0,0,0,0,0.1576982,0,0,0,0,0.6967137,0,0,0.1746648,0,0,0,0,0,0,0,0,12.2271
"4",0.88497,4.785666,10.74404,1.023888,1.172704,0,0,0,7.252685,15.00669,0,0,0,1.048728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3.095814,10.54312,0.05862378,1.267312,1.350802,0,0,0,0.01465595,15.71772,0,0.9717891,0,0,0.8624688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.619703,0,0,0
"6",0,4.146725,0,0,0,4.040675,0,0,0,7.081267,0,0,0.6673722,0.2793494,0.1467244,0,0,0,0,0,0,1.005638,1.500461,0.8116894,0,0,0,0,0.02367372,0,0,0,0,0,0,11.52611,0,0,0,0
"7",6.499131,10.60854,0,0,0.4432906,14.35106,0,0,0,13.2815,0,0,0,0.2483364,0,1.601025,2.141841,0.8330885,0,0,0,0.6538662,0,0,0,6.803496,0,0,0.5762154,0.3009659,0,0,0.5309368,28.55791,0,0,0.2365473,0,0,0
"8",35.75866,4.702381,5.070092,0,2.797173,4.835305,4.614531,0,9.975173,2.9498,13.84778,0,5.459711,0,1.044964,0,2.260803,0,0,0,1.260191,0.7147457,0,0.6425978,26.04599,1.925982,0,0,0,19.28102,0.00675662,0,0,14.39726,3.097327,0.3769835,0,1.202855,6.842024,0
"9",46.82132,5.123294,0,0,14.00223,0.05405296,0,0,16.88317,3.360343,0,0,10.70407,4.805912,14.56973,71.13808,0.6504796,1.501417,0,0.3336861,27.85365,14.88964,20.69065,0,10.0505,0,12.85034,0,17.31626,16.89902,0,0.3763151,0,0,0.1329707,0.2488667,0.9399331,24.68953,5.150603,0
"10",1.104624,17.64861,2.593794,2.233954,23.6264,22.4865,9.070553,8.875122,5.027696,0,13.91206,0.3876783,24.56019,0.2096954,1.218778,3.391493,3.364645,0,0,6.068822,0.1442175,9.634458,0,7.147341,0,4.504963,8.731197,19.47311,1.625244,1.965653,3.622602,0,0.03154995,0.4157888,0.136437,3.507333,0,0.3855443,0.5871409,0
"11",8.594609,4.395401,2.59227,6.395005,0,10.2368,18.8586,13.24326,19.73706,0.1081763,5.448163,3.077897,11.88838,2.559503,12.10279,0.189307,0.1780608,0.009013229,1.02093,19.09176,0,0,2.789815,0.1228203,21.1224,4.50833,5.625645,23.49553,2.789915,8.120723,0.3731256,0.01802865,1.047247,0.002253307,8.429816,0.06081362,0,0,5.927079,
