"","1","2","3"
"1981",19,40,75
"1982",29,39,75
"1983",33,35,75
"1984",12,25,75
"1985",17,25,75
"1986",58,50,75
"1987",48,31,70
"1988",42,45,75
"1989",59,41,75
"1990",38,50,75
"1991",44,45,75
"1992",21,46,75
"1993",36,35,75
"1994",52,50,75
"1995",13,36,75
"1996",60,50,75
"1997",40,43,75
"1998",35,46,75
"1999",21,45,75
"2000",19,38,75
"2001",63,50,75
"2002",42,49,74
"2003",27,50,75
"2004",36,43,75
"2005",24,49,75
"2006",25,50,75
"2007",58,50,75
"2008",36,29,75
"2009",17,42,75
"2010",31,40,75
"2011",25,50,75
"2012",43,50,75
"2013",47,50,75
"2014",35,46,75
"2015",39,50,75
"2016",43,50,75
"2017",32,50,75
"2018",74,50,75
"2019",71,46,75
"2020",45.3846153846154,49.4358974358974,75
