"","MIXEDVEGg"
"1981",0.289678683040067
"1982",0.318541262523985
"1983",0.303904640534537
"1984",0.238489618619369
"1985",0.241563375972714
"1986",0.264910846184325
"1987",0.28056831584951
"1988",0.264100800320049
"1989",0.247999504778319
"1990",0.262514007572158
"1991",0.246690111803212
"1992",0.266220239159432
"1993",0.273311064452591
"1994",0.356125698157558
"1995",0.29136544152949
"1996",0.210980876617805
"1997",0.231909285963626
"1998",0.272423275100406
"1999",0.289512256936306
"2000",0.3374232
"2001",0.2367716
"2002",0.2267407
"2003",0.2643209
"2004",0.2481579
"2005",0.2825491
"2006",0.2499339
"2007",0.2609662
"2008",0.2792538
"2009",0.2653844
"2010",0.2772954
"2011",0.2842814
"2012",0.2779242
"2013",0.2612569
"2014",0.3107124
"2015",0.2541768
"2016",0.2887716
"2017",0.2579254
"2018",0.3219537
"2019",0.2786526
