Time,precipitation
1-10 Jan 1981,0.7625968
11-20 Jan 1981,0.464442
21-31 Jan 1981,0.7042484
1-10 Feb 1981,0.9007347
11-20 Feb 1981,1.421466
21-28 Feb 1981,1.566945
1-10 Mar 1981,6.490216
11-20 Mar 1981,11.83447
21-31 Mar 1981,20.37527
1-10 Apr 1981,6.701217
11-20 Apr 1981,11.68991
21-30 Apr 1981,11.26983
1-10 May 1981,4.544861
11-20 May 1981,35.89694
21-31 May 1981,4.85592
1-10 Jun 1981,1.748602
11-20 Jun 1981,2.087672
21-30 Jun 1981,5.56545
1-10 Jul 1981,110.2266
11-20 Jul 1981,61.51965
21-31 Jul 1981,55.00579
1-10 Aug 1981,46.14338
11-20 Aug 1981,85.70532
21-31 Aug 1981,66.04012
1-10 Sep 1981,7.648899
11-20 Sep 1981,4.029567
21-30 Sep 1981,1.823138
1-10 Oct 1981,7.992486
11-20 Oct 1981,3.157672
21-31 Oct 1981,3.73353
1-10 Nov 1981,3.385803
11-20 Nov 1981,3.10027
21-30 Nov 1981,4.781137
1-10 Dec 1981,1.438065
11-20 Dec 1981,1.671666
21-31 Dec 1981,1.618065
1-10 Jan 1982,2.065973
11-20 Jan 1982,1.699549
21-31 Jan 1982,0.8096285
1-10 Feb 1982,5.769661
11-20 Feb 1982,2.868515
21-28 Feb 1982,4.807794
1-10 Mar 1982,28.8873
11-20 Mar 1982,11.16111
21-31 Mar 1982,6.563316
1-10 Apr 1982,38.33175
11-20 Apr 1982,19.2404
21-30 Apr 1982,45.19284
1-10 May 1982,19.80363
11-20 May 1982,23.0401
21-31 May 1982,12.16538
1-10 Jun 1982,4.029113
11-20 Jun 1982,7.256843
21-30 Jun 1982,5.197565
1-10 Jul 1982,21.35171
11-20 Jul 1982,36.1257
21-31 Jul 1982,66.6339
1-10 Aug 1982,31.6091
11-20 Aug 1982,70.04663
21-31 Aug 1982,39.74717
1-10 Sep 1982,6.890644
11-20 Sep 1982,1.016788
21-30 Sep 1982,2.587805
1-10 Oct 1982,8.82151
11-20 Oct 1982,6.255455
21-31 Oct 1982,2.756136
1-10 Nov 1982,2.629503
11-20 Nov 1982,3.353335
21-30 Nov 1982,3.159856
1-10 Dec 1982,2.341248
11-20 Dec 1982,1.635599
21-31 Dec 1982,1.724648
1-10 Jan 1983,0.6476909
11-20 Jan 1983,0.500384
21-31 Jan 1983,0.9288653
1-10 Feb 1983,2.274149
11-20 Feb 1983,2.874883
21-28 Feb 1983,2.900193
1-10 Mar 1983,8.110023
11-20 Mar 1983,5.107923
21-31 Mar 1983,3.932889
1-10 Apr 1983,5.519111
11-20 Apr 1983,9.668308
21-30 Apr 1983,12.17027
1-10 May 1983,33.3982
11-20 May 1983,41.3835
21-31 May 1983,13.60327
1-10 Jun 1983,11.8931
11-20 Jun 1983,2.934503
21-30 Jun 1983,5.228544
1-10 Jul 1983,10.2031
11-20 Jul 1983,25.62474
21-31 Jul 1983,98.49983
1-10 Aug 1983,64.96854
11-20 Aug 1983,51.21884
21-31 Aug 1983,104.1585
1-10 Sep 1983,11.16481
11-20 Sep 1983,6.961233
21-30 Sep 1983,3.407014
1-10 Oct 1983,2.95389
11-20 Oct 1983,3.740529
21-31 Oct 1983,3.857197
1-10 Nov 1983,5.626383
11-20 Nov 1983,10.61794
21-30 Nov 1983,5.916718
1-10 Dec 1983,1.942676
11-20 Dec 1983,1.458066
21-31 Dec 1983,1.422307
1-10 Jan 1984,0.6654261
11-20 Jan 1984,0.4434416
21-31 Jan 1984,0.8325835
1-10 Feb 1984,0.9346933
11-20 Feb 1984,1.363761
21-29 Feb 1984,4.972346
1-10 Mar 1984,6.278532
11-20 Mar 1984,7.863786
21-31 Mar 1984,6.310468
1-10 Apr 1984,5.639373
11-20 Apr 1984,6.136566
21-30 Apr 1984,4.619012
1-10 May 1984,7.850262
11-20 May 1984,20.11292
21-31 May 1984,9.212748
1-10 Jun 1984,6.476435
11-20 Jun 1984,2.632923
21-30 Jun 1984,11.51128
1-10 Jul 1984,30.50728
11-20 Jul 1984,48.24226
21-31 Jul 1984,38.94844
1-10 Aug 1984,47.67186
11-20 Aug 1984,28.38511
21-31 Aug 1984,10.07188
1-10 Sep 1984,10.85171
11-20 Sep 1984,8.387409
21-30 Sep 1984,3.346638
1-10 Oct 1984,2.476445
11-20 Oct 1984,2.982327
21-31 Oct 1984,3.336278
1-10 Nov 1984,6.482144
11-20 Nov 1984,7.849748
21-30 Nov 1984,4.46272
1-10 Dec 1984,3.825235
11-20 Dec 1984,2.793512
21-31 Dec 1984,2.676526
1-10 Jan 1985,1.274916
11-20 Jan 1985,0.8819803
21-31 Jan 1985,4.271982
1-10 Feb 1985,3.104614
11-20 Feb 1985,4.402589
21-28 Feb 1985,4.226136
1-10 Mar 1985,15.69662
11-20 Mar 1985,6.571529
21-31 Mar 1985,31.19008
1-10 Apr 1985,37.57708
11-20 Apr 1985,17.25887
21-30 Apr 1985,26.36744
1-10 May 1985,22.11242
11-20 May 1985,26.62556
21-31 May 1985,15.52412
1-10 Jun 1985,5.953482
11-20 Jun 1985,12.74265
21-30 Jun 1985,6.74721
1-10 Jul 1985,38.82697
11-20 Jul 1985,50.14834
21-31 Jul 1985,43.22061
1-10 Aug 1985,47.69337
11-20 Aug 1985,32.78895
21-31 Aug 1985,77.10062
1-10 Sep 1985,13.66379
11-20 Sep 1985,6.394962
21-30 Sep 1985,1.869359
1-10 Oct 1985,2.106822
11-20 Oct 1985,2.170024
21-31 Oct 1985,2.648925
1-10 Nov 1985,4.654078
11-20 Nov 1985,5.811198
21-30 Nov 1985,3.120741
1-10 Dec 1985,2.355316
11-20 Dec 1985,1.599599
21-31 Dec 1985,1.571545
1-10 Jan 1986,0.7624133
11-20 Jan 1986,0.4807488
21-31 Jan 1986,0.9422766
1-10 Feb 1986,2.145802
11-20 Feb 1986,3.118672
21-28 Feb 1986,5.348644
1-10 Mar 1986,4.181447
11-20 Mar 1986,2.824315
21-31 Mar 1986,3.875199
1-10 Apr 1986,10.88784
11-20 Apr 1986,14.0869
21-30 Apr 1986,5.862299
1-10 May 1986,17.28245
11-20 May 1986,19.18616
21-31 May 1986,6.88729
1-10 Jun 1986,10.41212
11-20 Jun 1986,50.32169
21-30 Jun 1986,45.83611
1-10 Jul 1986,63.12668
11-20 Jul 1986,63.35847
21-31 Jul 1986,121.7546
1-10 Aug 1986,32.14885
11-20 Aug 1986,40.83746
21-31 Aug 1986,30.75337
1-10 Sep 1986,20.11278
11-20 Sep 1986,11.07424
21-30 Sep 1986,5.840073
1-10 Oct 1986,2.74684
11-20 Oct 1986,1.8618
21-31 Oct 1986,3.452787
1-10 Nov 1986,2.715279
11-20 Nov 1986,3.539802
21-30 Nov 1986,3.293914
1-10 Dec 1986,2.438914
11-20 Dec 1986,1.658056
21-31 Dec 1986,1.721012
1-10 Jan 1987,0.764195
11-20 Jan 1987,0.4866929
21-31 Jan 1987,0.9313105
1-10 Feb 1987,1.247646
11-20 Feb 1987,1.675386
21-28 Feb 1987,4.708947
1-10 Mar 1987,13.68098
