"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.530349,5.728538,1.684626,1.824993,1.827641,1.827641,1.82564,1.612136,1.827641,1.761751,1.827641,1.827641,1.822992,1.824993,1.827641,1.827641,1.827641,1.827641,4.101457,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.827641,1.847155,1.878487,1.878487,1.878487,1.878487,1.878487,1.878487,2.528859
"2",1.295754,2.14772,3.318234,1.332892,1.33629,3.251661,1.33629,1.287329,1.605149,1.33629,1.33629,1.33629,2.101188,1.332892,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.33629,1.980974,3.683999,1.33629,1.33629,1.658632,1.33629,1.759472,1.362368,1.362368,1.362368,1.58092061538462,1.362368,1.362368,1.362368
"3",2.15013,2.477196,2.484538,2.489221,2.489221,2.484538,2.482434,2.489221,2.489221,2.489221,2.489221,2.489221,2.482434,2.487117,2.489221,2.489221,2.489221,4.880759,2.489221,2.489221,2.489221,2.489221,2.489221,2.489221,2.887811,2.489221,2.489221,2.489221,2.489221,3.68499,2.489221,2.489221,2.517713,2.541096,2.541096,2.541096,2.541096,2.541096,2.541096,2.541096
"4",5.442867,8.556959,4.748034,4.278279,4.748034,4.748034,4.748034,4.748034,6.06592,7.643793,4.748034,4.748034,4.743587,4.742625,4.748034,4.748034,4.748034,11.92275,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,4.748034,5.359928,4.748034,4.748034,7.283221,5.22048,5.22048,5.22048,5.793004,5.22048,5.22048,5.22048
"5",4.776854,12.49551,5.728633,5.081475,5.722597,5.728633,5.547241,5.728633,5.337759,8.85951,5.728633,5.728633,5.722597,5.716744,5.728633,5.728633,5.728633,5.728633,5.728633,5.728633,5.728633,5.728633,5.728633,5.728633,7.159952,5.728633,7.715422,5.728633,5.728633,5.728633,5.728633,5.728633,6.0906,6.486886,9.021533,6.486886,14.09681,6.486886,11.59209,6.486886
"6",3.960884,4.37642,4.37642,4.7176414,4.226785,4.271783,4.370373,4.7176414,4.374202,4.225582,4.37642,4.7176414,4.37642,8.478883,8.481101,4.7176414,4.37642,4.37642,4.37642,4.7176414,3.899205,3.899205,3.899205,4.7176414,4.80657,3.899205,3.899205,4.7176414,3.899205,3.899205,3.899205,4.7176414,4.083297,4.478468,4.478468,4.7176414,4.478468,4.478468,10.50733,4.7176414
"7",13.16137,25.12771,9.505587,25.12771,23.91195,9.505587,22.52654,9.505587,9.505587,9.505587,9.505587,6.992876,9.505587,9.601558,9.505587,22.12366,22.55436,9.601558,9.505587,9.505587,9.505587,25.12771,25.12771,9.505587,9.505587,9.505587,9.505587,9.505587,13.67826,9.505587,9.505587,15.84383,13.21073,32.43687,11.38977,11.38977,13.48928,11.38977,15.58879,11.38977
"8",24.07262,12.13121,9.120985,9.120985,9.120985,6.1632,9.213259,9.216791,9.120985,9.120985,9.120985,9.120985,21.61753,9.120985,9.120985,9.120985,21.61753,9.120985,9.120985,9.120985,17.14486,11.20374,19.7458,9.120985,43.12518,9.120985,9.120985,9.120985,11.12695,11.13535,17.45201,9.120985,16.70105,49.75389,20.44718,14.57301,16.41016,10.60079,30.52708,10.60079
"9",41.54754,5.446086,10.55642,10.55642,10.69191,10.55642,10.55642,10.55642,10.55642,25.924,22.35402,10.55642,25.98838,10.64687,10.55642,32.05993,22.35402,49.97215,10.55642,10.55642,10.55642,54.54111,10.55642,10.55642,10.55642,10.55642,21.85259,10.55642,22.8719,10.55642,15.46551,19.39804,12.40273,12.41303,14.34946,12.41303,12.41303,12.41303,33.08382,12.41303
"10",9.667612,13.97033,14.49309,14.04994,20.21414,9.489309,13.97033,13.97033,13.97033,13.97033,13.97033,13.97033,14.04994,14.05361,13.97033,19.74586,31.82995,14.05361,13.97033,19.00537,17.926,26.09439,15.01567,26.85947,13.97033,13.97033,15.89551,22.23296,16.99135,20.03765,14.97734,17.99836,14.95465,14.11477,14.11477,14.11477,14.11477,19.23385,14.11477,16.2337720769231
"11",14.60901,15.85853,14.19109,9.732992,40.20386,16.52734,20.65691,26.53169,14.19109,14.19109,14.19109,14.19109,14.27189,13.95881,20.05288,14.19109,14.19109,14.27189,14.19109,46.73375,14.19109,14.19109,14.19109,14.19109,19.41878,28.19613,20.33362,39.78497,16.14502,19.07591,14.19109,15.21485,15.19097,23.04391,13.79357,13.79357,14.82139,13.79357,30.54218,18.4882605641026
"12",36.52201,28.97314,12.51707,8.866892,24.57797,12.51707,8.738076,12.51707,12.51707,22.78074,12.51707,39.22017,29.66852,12.5878,12.51707,28.23716,12.51707,17.72412,12.51707,21.557,14.22768,12.51707,13.37956,25.30198,19.6841,12.51707,20.26892,31.442,22.91066,15.93829,16.15468,12.51707,30.50713,46.89077,12.56559,16.16242,45.68597,12.56559,27.8147,20.2215745641026
"13",6.065858,19.65582,24.7507,11.62623,24.44067,10.24403,19.99809,10.24403,10.24403,10.24403,29.01496,14.9236,10.27799,33.69453,19.70846,33.64189,14.9236,14.97624,10.24403,21.99191,17.29276,10.24403,10.24403,11.82804,19.70846,14.18754,12.58382,39.10354,10.24403,41.44333,14.9236,19.60318,5.721676,31.84225,63.66357,35.19459,36.91148,21.43306,14.04649,20.0289788205128
"14",10.58175,9.969971,19.75055,36.88389,26.59409,9.969971,50.99261,9.969971,11.34663,9.969971,19.26153,9.969971,19.41186,14.55768,9.969971,32.67262,37.05527,23.9073,9.969971,9.969971,12.97945,12.97945,9.969971,9.969971,12.22708,11.47471,14.50936,44.28706,9.969971,9.969971,47.87349,9.969971,27.06247,52.29272,12.78141,28.97978,64.97729,10.25438,11.91969,20.4416344358974
"15",7.969277,9.784418,24.43029,69.47545,28.40073,17.95288,40.46638,12.01525,12.01525,12.01525,16.54,12.01525,17.72082,12.01525,29.08593,39.3009,50.68135,17.83876,12.01525,12.01525,12.01525,12.01525,15.87576,12.01525,12.01525,27.09774,26.24082,15.8336,12.01525,12.01525,62.29027,12.01525,16.91886,42.54817,23.42258,17.15014,18.16165,30.24397,50.76664,22.6772021794872
"16",7.755544,21.33662,35.89756,36.02055,21.33662,21.33662,42.37304,35.89756,30.65828,21.33662,21.33662,21.33662,21.75101,21.33662,21.33662,52.09809,73.9395,29.76382,21.33662,38.0688,27.54031,26.46353,21.33662,21.33662,21.33662,21.33662,23.90008,37.11097,32.30302,21.33662,23.76344,21.33662,0,19.97655,19.97655,21.79629,19.97655,62.87423,61.53208,28.2432475384615
"17",12.95936,27.55334,30.68374,19.7251,37.03542,91.05272,38.44601,21.76442,21.76442,21.76442,36.92727,21.76442,22.6336,21.76442,21.76442,29.34584,52.41456,21.76442,21.76442,21.76442,26.83673,21.76442,23.03328,25.62529,21.76442,23.04601,48.40755,43.33525,28.1003,26.87278,32.01718,23.02799,12.91401,19.36423,19.36423,34.69672,19.36423,56.45957,42.13951,29.302318974359
"18",43.48188,25.85103,25.85103,51.71172,25.85103,63.66942,18.75474,25.85103,20.44151,25.85103,71.96778,35.69104,26.32335,36.16336,26.32335,25.85103,59.04448,35.69104,65.21106,38.20022,45.11552,49.71259,36.81716,47.01246,58.65106,32.76633,51.93246,32.17468,31.64021,25.85103,43.12022,58.33389,76.48257,22.23557,22.23557,43.3718,37.56733,45.07502,58.07616,40.1526348717949
"19",106.4317,59.18732,71.25535,83.05621,91.81795,103.2831,72.12915,114.1467,114.7356,102.7261,168.0813,70.04855,60.21127,113.5404,59.18732,146.171,80.90977,113.4934,179.1303,157.0618,106.37,80.90977,157.0948,68.23834,111.7615,77.36661,123.6022,119.0023,93.84416,68.254,100.9081,119.0258,99.53183,84.89285,101.9185,78.24285,141.0173,158.4743,100.9798,104.05228974359
"20",133.3926,51.1664,62.10633,73.02222,87.97969,71.31464,60.98867,202.205,146.9133,146.522,106.799,53.2006,72.46655,79.44407,88.80495,119.097,78.98268,227.8863,164.082,163.5821,149.2588,94.54134,138.3289,141.452,129.2755,73.12222,150.8616,105.9872,122.6327,279.46,164.7265,226.7725,155.2075,75.90916,112.926,155.2075,122.286,109.5975,91.60347,122.797756153846
"21",171.8871,154.238416842105,99.49124,97.93879,138.8587,129.6035,75.07714,297.5118,80.91725,180.2305,147.7786,72.47942,155.0454,174.3915,204.9027,82.21667,115.968,258.1285,142.5809,195.4672,277.9655,155.8706,101.2518,129.3671,176.5282,159.3553,182.7253,160.6519,176.1212,181.7437,159.3581,250.3404,198.1857,141.8032,67.24673,193.0714,141.5798,81.6592,105.7598,154.238416842105
"22",137.8361,92.12128,93.38969,89.10068,76.20734,108.9168,100.9027,104.403,88.68804,70.62225,96.89409,83.6441,80.67303,79.13345,96.6121,113.9327,97.45378,153.6548,83.58215,173.4933,148.9527,110.3308,114.7661,102.5681,83.47676,127.8321,127.3879,111.431,80.43192,138.9086,114.3316,129.2124,87.99812,120.5928,121.1901,121.8666,113.9627,100.2986,88.20004,106.79488
"23",135.4681,104.7672,81.20599,114.9563,85.31638,71.11112,117.3983,102.8833,109.5535,90.0343,117.193,141.8352,67.16618,155.4298,138.409,114.187,98.58776,160.4404,147.6673,182.0096,138.3685,97.29395,139.8555,108.0906,97.56769,98.79306,98.36856,103.7352,98.30547,176.5403,122.7219,87.22181,126.2197,97.6732,97.7813,111.1068,156.119,124.2737,85.64867,115.418067692308
"24",121.6402,103.1797,111.0522,72.90447,117.542,108.4824,87.8955,140.363,107.48,83.13422,88.63555,102.7187,103.7976,169.47,122.3032,127.0645,94.37868,184.2933,158.8686,132.1854,126.8727,98.51199,144.3856,100.9679,170.3852,193.9489,140.0777,126.8104,144.3583,214.9061,124.6251,143.6887,113.8941,130.7866,117.5138,83.52808,165.1745,136.0151,102.9342,126.071133076923
"25",26.13288,35.84241,26.75893,49.714,53.76403,32.82296,27.79732,47.96196,44.4991,27.59294,56.24509,33.57134,74.1396,27.59294,16.29888,80.50123,22.36292,61.47512,59.80709,34.60476,25.61118,40.26917,43.69321,19.73221,43.587,47.7427,60.81776,60.01954,29.33628,49.76405,34.13515,43.09866,59.60503,58.75755,54.27782,28.05306,62.0625,76.14785,41.93289,44.0545925641026
"26",38.44874,15.58341,29.39513,31.99045,10.99218,25.2215,8.483337,36.70929,17.81213,24.29109,16.4725,37.58999,11.4283,39.21174,16.4725,16.4725,17.81213,17.64163,21.95281,17.49425,22.03664,17.84186,21.25307,15.0617,13.20866,16.53339,33.1083,14.64572,13.20866,19.60237,16.86221,14.34771,0,40.69637,36.19413,20.65951,16.45487,43.14153,55.12806,22.6015478717949
"27",31.54105,23.02122,14.05208,29.29963,9.178074,21.67585,22.80635,21.67585,13.50489,21.67585,14.05208,14.05208,30.92204,44.54716,14.05208,14.05208,52.94735,14.05208,21.67585,28.50347,14.05208,35.18351,38.33286,14.05208,15.32271,15.35529,14.05208,24.56218,14.05208,17.9071,17.86397,19.30713,14.02573,16.54929,35.13292,16.54929,22.2705,19.4099,38.55393,22.0467113846154
"28",20.35228,18.2225,8.999613,6.496277,26.83425,8.999613,17.91693,9.126543,9.113619,9.113619,26.84359,16.6085,36.35066,9.113619,8.999613,8.999613,33.86583,34.13992,16.6085,18.46761,8.999613,8.999613,8.999613,11.53591,11.53591,38.50593,18.88297,8.999613,21.68109,17.47107,8.999613,8.999613,53.22578,64.66985,33.26964,11.31527,11.47346,9.871848,46.00867,19.1953275641026
"29",3.524384,25.57095,7.27578,7.185284,7.27578,6.653338,7.185284,25.19447,28.73544,7.185284,7.185284,13.59156,7.377648,7.185284,7.185284,7.185284,28.73544,7.185284,25.30471,19.01718,7.185284,7.185284,7.185284,20.78272,7.185284,7.185284,20.78272,7.185284,13.984,7.185284,7.185284,7.185284,23.70736,16.30054,28.65062,11.28442,13.5385183684211,28.96673,29.59808,13.5385183684211
"30",5.102053,6.119425,6.119425,6.119425,6.119425,11.33852,16.56813,6.119425,6.119425,6.119425,11.33852,31.73035,42.92789,11.23494,6.119425,6.119425,37.06355,6.119425,6.119425,30.27177,19.1552,24.41408,6.980986,6.119425,6.119425,30.82625,6.119425,26.477,13.07822,6.119425,6.119425,26.477,9.941357,5.624638,10.2826,14.25808,12.53139,21.23584,5.624638,13.3947128717949
"31",4.14716,8.591331,8.73296,3.000978,3.067802,3.831551,3.303043,3.213113,3.221359,3.03739,3.067802,3.067802,3.03739,3.03739,15.59095,3.067802,15.20465,3.067802,3.067802,3.98839,3.067802,3.067802,3.067802,8.5789,3.067802,3.067802,3.067802,15.59095,3.067802,3.067802,24.68475,16.09745,2.576811,2.576811,15.36896,11.8926,7.079922,10.48291,13.01838,6.4829571025641
"32",2.744601,10.33827,4.002306,2.991817,2.926648,2.980429,2.991817,2.957161,2.991817,2.957161,2.991817,2.926648,2.957161,2.991817,2.991817,2.991817,8.533813,2.991817,2.991817,3.919347,7.187972,2.991817,2.991817,2.991817,2.991817,2.991817,2.991817,2.991817,2.991817,2.991817,2.991817,2.944963,12.53184,3.872368,7.928942,2.858225,2.858225,4.138152,5.418079,3.9442777948718
"33",7.272975,9.240513,3.494039,3.62373,3.166346,3.494039,3.494039,3.494039,3.494039,3.494039,3.494039,3.417931,3.456932,3.456932,3.494039,9.752388,9.752388,3.494039,3.494039,3.494039,3.494039,3.494039,3.494039,5.740598,3.494039,3.494039,3.494039,3.494039,3.494039,3.494039,3.494039,3.43932,10.00064,3.922371,3.922371,5.558688,3.922371,9.420594,14.90959,4.80388453846154
"34",3.215162,3.549919,3.561054,3.561027,9.848376,3.549919,3.549919,3.549919,9.9421,3.549919,8.025662,3.572162,3.549919,3.549919,3.549919,3.549919,3.549919,3.549919,3.549919,3.549919,3.549919,3.549919,5.048076,3.549919,3.549919,11.00403,3.549919,3.549919,5.038194,3.549919,3.549919,3.683982,3.971029,3.971029,6.272927,3.971029,3.971029,6.335533,3.971029,4.44901869230769
"35",4.664212,3.517166,3.815983,3.804292,3.804292,8.176496,3.804292,3.804292,3.804292,3.804292,3.804292,3.816438,3.804292,3.804292,8.503402,3.804292,3.804292,3.804292,3.804292,5.431661,3.804292,10.97495,3.804292,3.804292,3.804292,3.804292,3.804292,3.804292,3.804292,3.804292,3.804292,6.311914,3.933903,3.933903,6.255763,3.933903,3.933903,9.844199,12.16606,4.78750184615385
