"","MIXEDVEGg"
"1981",0.161379723259348
"1982",0.119599407922123
"1983",0.141286540671994
"1984",0.150791057674998
"1985",0.13536881564371
"1986",0.137236423658819
"1987",0.133089496519301
"1988",0.137313868559029
"1989",0.139465409199603
"1990",0.157698729862301
"1991",0.1315123028789
"1992",0.122215585955319
"1993",0.122321422517643
"1994",0.113355130766564
"1995",0.126807801265645
"1996",0.15572270858949
"1997",0.141391096888789
"1998",0.13226863499176
"1999",0.134891278769879
"2000",0.146807
"2001",0.1380176
"2002",0.1232517
"2003",0.128189
"2004",0.1301009
"2005",0.1553313
"2006",0.1214583
"2007",0.1665232
"2008",0.0999811
"2009",0.1040961
"2010",0.1298542
"2011",0.1197743
"2012",0.1250868
"2013",0.1260868
"2014",0.1471879
"2015",0.1234186
"2016",0.1377402
"2017",0.1713372
"2018",0.1392043
"2019",0.1942878
