"","1","2","3"
"1983",30.7,31.6,75
"1984",33.9,45.9,75
"1985",48.1,48.1,75
"1986",61.8971428571429,50,75
"1987",66.5,50,75
"1988",44,39.6,75
"1989",51.4776984126984,37.7,75
"1990",27.8,45.7,75
"1991",61,48.2,75
"1992",29.8,43.9,75
"1993",61.6,47,75
"1994",55.8,50,75
"1995",33.5,44.9,75
"1996",74.4,49.4,72.8
"1997",75,50,75
"1998",41.4,32.4,75
"1999",46.8,50,75
"2000",47,50,75
"2001",51,50,75
"2002",53.9,36.9,75
"2003",47.1,50,75
"2004",44.5,50,75
"2005",49.1,50,75
"2006",48,50,75
"2007",62.1,50,75
"2008",64.1,50,75
"2009",57.5,50,75
"2010",68.2,50,75
"2011",50,50,75
"2012",49.8,50,75
"2013",37,50,75
"2014",34.4,50,75
"2015",14.7,25,75
"2016",41.2,50,75
"2017",50,50,75
"2018",64.5,50,75
"2019",75,50,75
