"year","MIXEDET"
1983,64.6572007345997
1984,69.0148436802126
1985,62.5301321500244
1986,52.8511709513413
1987,71.6092962451943
1988,40.5421873165534
1989,51.8381881084443
1990,51.3297610355307
1991,53.8786924177818
1992,70.4955624401459
1993,60.139499436805
1994,42.5510658721729
1995,54.3021085909279
1996,62.7756382888247
1997,74.455905337709
1998,52.8763283525145
1999,61.948550801051
2000,59.20109
2001,48.949
2002,44.08775
2003,63.7295
2004,60.35815
2005,72.49248
2006,58.59204
2007,73.67352
2008,63.51584
2009,65.61859
2010,76.05941
2011,72.04956
2012,69.85464
2013,77.7576413073088
2014,69.80673
