Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0147058823529412,0,0,0,0,0,0.0147058823529412,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
4,0.0129032258064516,0.0129032258064516,0.0129032258064516,0.0129032258064516,0,0,0,0.0129032258064516,0,0,0,0.0129032258064516,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0181818181818182,0.0181818181818182,0,0.0181818181818182,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1.41176470588235,1.43747899159664,17.8,0,0,1.41176470588235,0,0,0,0.0257142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15.1
8,0.0371428571428571,0,2.15142857142857,0,2.11428571428571,0,0,0,9.9,0,0,0,0,0,9.9,0,0,0,0,0,0,0,22.2,0,0,0,0,0.7,0,0,9.9,22.7,0,0,0,0,0
9,0,0,8.74857142857143,0,0,0,12.8,10.9,0,0,0,2.24857142857143,8.8,44.3,0,18.5,0,0,0,0,0,0,0,0,10.9,0,12.8,0,0,0,0,0,0,0,0,0,0
10,2.61714285714286,0,2.02941176470588,0,7,3,0,2.4,15.4,1.9,6.1,2.02941176470588,4.64655462184874,4,19.3,0,0,27,7,8.8,0,12.9,0,4,1.5,11.1,3.4,3.5,1.8,2.3,2.1,3.1,1.8,2.7,1.5,3.2,3.8
