"","1","2","3"
"1983",61.1,37.7,75
"1984",71.7,50,75
"1985",57.4,50,75
"1986",75,50,75
"1987",75,50,75
"1988",75,50,75
"1989",74.2,50,75
"1990",47.6,50,75
"1991",55.4,50,75
"1992",63,50,75
"1993",72.4,47.4,75
"1994",68,50,75
"1995",66.5,50,75
"1996",70.5,45.5,75
"1997",75,50,75
"1998",70.3,50,75
"1999",54.4,50,75
"2000",64.2,50,75
"2001",75,50,75
"2002",58.4,50,75
"2003",59.8,50,75
"2004",55.4,50,75
"2005",67.4,50,75
"2006",75,50,75
"2007",73.1,50,75
"2008",75,50,75
"2009",75,50,75
"2010",75,50,75
"2011",75,50,75
"2012",68.4,50,75
"2013",56.9,50,75
"2014",74.2,50,75
"2015",57.4,50,75
"2016",63.1,50,75
"2017",47.3,50,75
"2018",75,50,75
"2019",75,50,75
