Time,NDVI
Oct 1981,0.3878065
Oct 1982,0.3816613
Oct 1983,0.3671129
Oct 1984,0.2919194
Oct 1985,0.3000162
Oct 1986,0.4209194
Oct 1987,0.3922904
Oct 1988,0.3984678
Oct 1989,0.3158548
Oct 1990,0.3238387
Oct 1991,0.3036129
Oct 1992,0.3635806
Oct 1993,0.3340645
Oct 1994,0.4039355
Oct 1995,0.4415807
Oct 1996,0.4191613
Oct 1997,0.3435484
Oct 1998,0.4213226
Oct 1999,0.4207742
Oct 2000,0.3837581
Oct 2001,0.3894678
Oct 2002,0.3614677
Oct 2003,0.3775968
Oct 2004,0.3530323
Oct 2005,0.3868549
Oct 2006,0.3767097
