"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.093569,7.111676,1.050331,1.187389,1.508251,1.299778,2.14292,1.175852,1.488112,1.573932,1.769542,1.651508,1.181651,1.282436,1.076374,1.793054,1.337801,3.366975,2.212582,1.110985,1.100963,2.444582,1.158081,1.25758,1.615531,1.207017,2.385334,1.213016,0.913898,1.643648,2.553609,1.272918,2.000049,2.304775,1.415189,1.665243,1.404474,1.345991,1.44337,1.20874
"2",0.9677597,2.19945,2.235743,0.9482521,1.247687,2.447664,1.715945,1.095426,1.50393,1.295295,1.226634,1.396398,1.538973,1.013441,0.8719201,1.492354,0.9753364,1.799433,1.918816,0.8419244,0.8343296,1.847244,0.8776144,0.9530166,1.184185,0.8476056,1.996541,3.173713,0.7586039,1.430121,1.949057,1.233946,1.670197,1.849846,1.254491,0.9985642,1.126412,1.139026,1.165164,1.082561
"3",1.555248,2.111908,1.883963,1.738414,2.124092,1.785263,2.822731,1.697381,2.125853,2.310612,2.151232,2.121682,1.514081,1.72243,1.56674,2.570456,1.601588,4.677805,3.300465,1.488524,1.475096,3.256618,1.551624,1.684936,2.164527,1.365531,3.358099,1.657049,1.822541,3.296062,2.647247,1.647576,2.331041,2.890783,1.960092,1.965968,2.100245,2.108538,1.977736,2.340246
"4",3.265626,5.404601,4.95186,2.525003,3.619395,3.035989,3.130158,8.663529,3.948829,7.508436,3.796597,3.430518,3.216685,3.757095,3.718475,3.118034,2.530011,7.414021,2.500505,2.573044,2.99739,3.15443,6.220161,4.7792,3.283867,2.680613,3.226814,2.288476,3.484064,2.749578,2.598001,2.602106,4.87848,3.570155,5.731694,3.524073,4.290803,5.211899,2.834065,3.670989
"5",2.809939,5.991133,4.215259,2.851589,4.024148,3.966137,3.373646,15.51969,3.228966,5.11768,4.248242,3.412564,3.673517,4.177163,4.665569,3.273778,3.477965,4.027051,2.664342,2.805321,3.598119,3.938756,7.466787,5.737034,5.397188,3.240247,3.96332,3.437356,4.81891,3.206657,2.960012,3.001799,3.203888,5.378131,6.131068,4.285357,30.1585,7.255723,10.63498,7.089722
"6",2.345201,3.076133,3.519877,3.5791177,3.22555,3.150715,3.655972,3.5791177,2.813471,2.390237,2.819353,3.5791177,4.366589,7.620702,6.179346,3.5791177,2.419652,3.513635,2.266982,3.5791177,2.554561,2.850411,5.301204,3.5791177,3.457992,2.203441,2.606291,3.5791177,2.745982,1.746937,2.153684,3.5791177,2.226236,3.594235,3.452541,3.5791177,4.396029,6.7455,7.975072,3.5791177
"7",4.775632,32.54248,2.946074,12.70283,20.10476,8.053816,25.52048,4.389186,9.493571,8.305641,7.677952,4.497831,12.32073,6.378264,4.508451,9.910682,8.092587,7.478628,3.833549,5.092052,8.67052,17.65448,19.71094,10.34107,9.085882,5.098075,4.98004,4.014264,11.02157,6.963493,6.808027,17.03134,11.84953,42.86513,7.500564,5.573654,11.42307,8.899529,5.930116,10.6165766666667
"8",8.490213,19.68903,3.498252,3.360302,8.072154,5.984151,6.220746,3.837763,15.45153,6.289787,8.487135,8.273027,33.84081,6.470035,5.663965,16.37271,39.51987,5.437036,3.709327,4.76213,15.22565,12.27774,14.00518,9.671055,37.72775,6.514853,4.017804,3.96814,11.138,6.5067,40.92996,5.927772,11.29169,74.8516,15.93094,8.607739,12.51176,8.744377,24.94111,13.8005075128205
"9",15.73678,7.029787,4.364579,3.17364,10.37881,9.692511,8.926635,3.972637,14.60546,25.48533,18.57698,6.239057,59.82969,6.010356,20.57985,31.42797,15.07574,17.13218,4.12618,5.434377,13.53284,48.448,8.2769,11.03627,9.696702,6.428807,8.311318,4.142079,13.83946,6.825182,9.437832,25.03696,6.170385,6.776487,10.723,8.2713,9.632015,10.15394,22.83547,13.5223973333333
"10",5.239165,6.573606,7.122865,6.5135,34.28098,10.08572,9.72423,8.904733,12.67307,10.37025,11.6818,7.400195,19.25188,8.976419,11.92966,26.93364,27.75761,5.718789,8.899728,28.49167,11.36207,22.79176,10.77976,24.02414,8.295084,10.11542,11.22197,26.81132,7.794273,16.84348,13.59499,8.015172,6.193376,11.21815,7.930957,11.24519,11.96082,17.38884,9.916649,13.2316136153846
"11",6.927186,6.414227,11.56599,5.581328,18.97895,16.13405,11.38305,15.69073,15.3744,10.70717,8.70568,10.27557,23.85809,12.33216,14.28059,15.76205,10.60228,8.237271,8.700432,47.39462,9.094301,14.88076,11.07507,12.36008,11.01751,19.92571,16.78654,32.58968,6.624541,14.84203,8.648976,6.15733,14.30425,21.78892,14.43264,11.24602,9.202774,8.916676,25.68219,14.0636364615385
"12",40.60325,13.57801,6.8439,5.480284,29.16787,7.972147,6.153689,5.730326,14.32174,19.12881,7.060891,54.21114,35.44592,10.65584,13.99147,42.6629,13.39304,9.839458,5.643493,25.30378,8.624792,7.248212,10.50887,21.55427,12.44836,15.89568,16.29485,19.72772,12.53581,17.49466,16.26513,9.697386,17.17933,37.22934,13.67839,10.65831,40.48878,10.90672,20.45203,17.5917076410256
"13",4.818241,20.4819,11.21428,6.710461,35.23888,4.985831,15.89599,15.19495,10.52653,10.8036,40.12118,16.68382,13.2703,31.85461,17.63073,47.30542,29.15925,33.29513,7.002953,18.04595,21.30426,7.670247,5.612691,5.430958,18.57034,16.20008,21.6925,51.16385,4.574946,42.06319,13.49834,24.63872,10.62234,38.59209,77.44913,67.32462,41.34161,16.40067,16.59136,22.845690974359
"14",13.09453,9.992925,40.36852,27.95815,29.9266,6.558463,78.65417,10.01692,27.74759,8.661211,18.68611,25.07764,64.13662,29.96694,11.86573,43.15969,49.83077,36.02944,6.023458,8.097657,15.30948,12.40994,5.299168,5.070934,11.13723,9.831882,20.05314,38.26277,4.279757,9.351396,42.28101,4.685379,30.88136,44.75182,10.22624,36.72622,71.84958,9.831719,14.60451,24.1717094615385
"15",7.544929,16.49858,17.48859,49.71082,29.2374,10.46097,51.14655,11.34921,12.12599,9.709663,13.59644,13.58623,20.9703,10.97584,35.7518,51.583,40.19318,31.75392,14.06451,9.610782,12.4325,9.428272,9.571159,5.358977,12.35161,36.61184,24.0767,20.52688,5.56146,10.3722,60.42966,4.72464,13.80483,48.91522,26.23625,19.06487,19.80233,32.15113,60.89642,22.8121962051282
"16",10.54778,11.99855,29.15862,26.45489,17.16019,20.00517,39.00837,57.78026,28.66201,19.53142,25.40565,25.23716,28.36524,24.57435,22.16762,60.49563,75.2146,29.70628,21.9553,35.23746,38.78135,30.96671,18.36266,25.21951,24.50904,15.01501,32.36404,45.43593,22.54464,12.36939,13.36019,14.38792,14.84904,17.4211,17.58305,21.45292,16.91229,70.28681,76.46608,29.1526725641026
"17",17.18786,23.5544,10.51257,27.25253,59.73979,75.1353,28.2675,12.7409,17.47916,17.60829,46.07375,19.78161,15.07189,21.57218,14.11701,67.88909,31.47644,19.44416,28.62858,23.21709,42.62318,29.86084,21.635,27.01434,22.57243,18.73613,61.87628,47.2011,22.12407,16.08797,44.29587,28.66336,49.98302,22.35737,21.01156,34.37654,16.37005,75.07292,51.57144,31.5431684615385
"18",44.99714,23.26274,19.61601,58.20214,21.21154,136.6041,17.46862,25.14828,33.62107,49.79636,93.72076,41.15591,17.22598,75.57336,27.70951,34.57401,81.14664,78.56419,60.74166,39.43685,75.81709,52.35113,41.63963,57.17226,64.13881,53.16302,81.97881,38.50194,15.81769,21.80441,38.83275,97.86717,94.75649,26.26085,27.44266,45.67178,38.58703,62.94792,69.91251,50.8830979487179
"19",122.7789,34.03106,46.08762,62.40089,90.56482,120.4633,43.2827,139.6669,119.0231,80.35147,189.0229,86.6881,68.92938,132.8128,51.87667,109.9562,73.92894,78.02577,228.3604,111.4388,115.1188,58.39909,152.2959,60.1785,112.8457,95.55847,146.0788,105.5247,61.68288,55.31662,80.8496,121.3221,87.70077,59.67165,54.49125,87.47403,136.981,134.0284,80.32088,97.3212784615385
"20",110.6051,48.04441,65.96513,75.9386,67.729,76.31461,36.53377,160.8046,102.6313,128.0344,104.9041,86.33876,58.47447,77.90208,103.2102,137.4117,83.39141,173.6849,169.3072,112.4819,156.9229,61.64338,142.6188,109.9097,128.9347,74.53651,132.8412,91.12626,143.1609,219.1913,144.9794,151.4147,149.3811,65.76108,81.52722,174.2404,114.7192,94.19374,74.16937,110.025115384615
"21",138.9893,91.75095,139.807,92.73164,101.6096,192.3551,75.5779,276.0468,71.62673,204.6803,148.2748,98.22752,142.583,167.8608,188.5267,70.69534,93.1725,248.4697,138.3903,141.8046,267.0778,163.0911,124.4832,126.9017,179.2166,193.6536,116.1919,154.3634,143.3907,123.3846,125.15,177.2325,164.7264,137.3361,60.18006,184.655,121.8128,83.70578,80.2912,142.308333846154
"22",104.4586,158.5135,93.37885,81.72639,67.93678,95.14356,83.17517,111.6975,125.8411,96.73198,84.00842,136.6243,92.95666,76.88982,90.66141,103.9375,87.44795,132.3033,89.5903,158.8297,158.9639,91.86158,130.0191,86.29652,58.90871,179.6792,152.7637,133.4701,64.65446,94.89163,126.6543,148.3043,120.0409,124.6707,116.7542,97.75853,118.6413,94.50763,100.1098,109.507778205128
