"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"2-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"3-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"4-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"5-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"6-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"7-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"8-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"9-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"10-Jan",0.103612,0.2720077,0.1358148,0.1737649,0.1733069,0.1733069,0.1737736,0.1999277,0.1733069,0.1592893,0.1733069,0.1733069,0.1742316,0.1737649,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.1733069,0.4353682,0.1733069,0.1733069,0.1732721,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552,0.1656552
"11-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"12-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"13-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"14-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"15-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"16-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"17-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"18-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"19-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"20-Jan",0.1074452,0.4096765,0.1825242,0.183022,0.1820507,0.1825242,0.1820507,0.1436613,0.2868142,0.1820507,0.1820507,0.1820507,0.326107,0.183022,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2593643,0.1820507,0.4130212,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.1820507,0.2626468,0.1820507,0.1820141,0.173881,0.173881,0.173881,0.200157512820513,0.173881,0.173881,0.173881
"21-Jan",0.1154514,0.1052574,0.2375744,0.2367606,0.2367606,0.2375744,0.2380924,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2380924,0.2372786,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.3465501,0.2367606,0.2367606,0.2367606,0.2367606,0.2367105,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286
"22-Jan",0.1154514,0.1052574,0.2375744,0.2367606,0.2367606,0.2375744,0.2380924,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2380924,0.2372786,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.3465501,0.2367606,0.2367606,0.2367606,0.2367606,0.2367105,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286
"23-Jan",0.1154514,0.1052574,0.2375744,0.2367606,0.2367606,0.2375744,0.2380924,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2380924,0.2372786,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.2367606,0.3465501,0.2367606,0.2367606,0.2367606,0.2367606,0.2367105,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286,0.2581286
