"","1","2","3"
"1981",11,34,75
"1982",21,36,75
"1983",39,33,69
"1984",42,46,75
"1985",19,25,75
"1986",55,50,75
"1987",10,27,65
"1988",39,38,75
"1989",49,30,70
"1990",15,40,75
"1991",27,38,75
"1992",23,48,75
"1993",26,32,75
"1994",57,50,75
"1995",2,25,75
"1996",43,38,65
"1997",34,50,75
"1998",11,36,75
"1999",13,38,75
"2000",24,49,75
"2001",48,48,75
"2002",42,25,58
"2003",27,50,75
"2004",32,16,50
"2005",13,38,56
"2006",10,35,75
"2007",54,50,75
"2008",41,38,70
"2009",0,25,75
"2010",0,18,68
"2011",13,32,72
"2012",40,50,63
"2013",50,48,73
"2014",10,35,75
"2015",25,38,63
"2016",30,43,75
"2017",29,50,75
"2018",33,31,75
"2019",49,37,71
"2020",33.0769230769231,42.7435897435897,75
