"","MIXEDVEGg"
"1981",0.222585419631505
"1982",0.22597680161928
"1983",0.221924211226901
"1984",0.198063800657794
"1985",0.178419519359805
"1986",0.180111683908868
"1987",0.182600075618756
"1988",0.189667203288846
"1989",0.186794825818125
"1990",0.184683234737741
"1991",0.164846982599616
"1992",0.231863672287152
"1993",0.175852884655373
"1994",0.27243912276073
"1995",0.185600374875488
"1996",0.180069013926491
"1997",0.191515721585318
"1998",0.194750661664564
"1999",0.206104976468987
"2000",0.2287803
"2001",0.1945724
"2002",0.1701858
"2003",0.222992
"2004",0.1731774
"2005",0.1894176
"2006",0.2057306
"2007",0.2063345
"2008",0.20682
"2009",0.2085064
"2010",0.2197796
"2011",0.2266871
"2012",0.221099
"2013",0.2044614
"2014",0.260648
"2015",0.193479
"2016",0.2323053
"2017",0.2027443
"2018",0.2218122
"2019",0.236663
