"","MIXEDVEGg"
"1981",0.33928789082079
"1982",0.3587855699333
"1983",0.232718520417636
"1984",0.312825620429679
"1985",0.245426810291209
"1986",0.336145855658311
"1987",0.291441727573564
"1988",0.30179850083615
"1989",0.33760684462151
"1990",0.27401042747491
"1991",0.298501302677494
"1992",0.356759269006422
"1993",0.29208217044023
"1994",0.334174584550549
"1995",0.211889951023647
"1996",0.215497289053509
"1997",0.244701310060386
"1998",0.281545293947775
"1999",0.319489998298245
"2000",0.384157
"2001",0.2861426
"2002",0.3133951
"2003",0.2723631
"2004",0.2779248
"2005",0.2587825
"2006",0.2761118
"2007",0.2825951
"2008",0.3187123
"2009",0.2857923
"2010",0.298151
"2011",0.3171915
"2012",0.2492414
"2013",0.3025317
"2014",0.3369872
"2015",0.2797498
"2016",0.2638732
"2017",0.2919326
"2018",0.2823645
"2019",0.2829134
