Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.311776486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.1124145,0,0,0,0.218314337837838,0,0,0,0,0,0,0,7.965216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.0731233055555556,0,0,0,0,0.0731233055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632439,0,0
6,0,0,0.0675929714285714,0.0675929714285714,0,0,0,0.161021566023166,0,0,0,2.365754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.456858,0,0,0,0,0,0,0,0,0,0
7,7.879167,0,0.425062542857143,0,0.425062542857143,0,0,0.586183702702702,0,0,0,0,0,3.852849,0,0.425062542857143,0,0,0,13.80963,0,0,0,3.80537,0,0,0,0,0,0,0,16.465764,0,0,0,0,0
8,0,0,0.344421081081081,2.062469,0.771651918918919,0,0,0,5.081328,0,9.863472,0,19.70652,0,0,0,0,0,0,0,0,0,20.881079,0,0,0,0,5.380966,18.69863,0,0,24.005974,0,0,0,0,0
9,0.0771131388888889,0,0.389984660660661,0,0,0.886747513513513,17.560335,0,0,0,9.31404030555555,2.776073,0,22.73167,0,6.285922,0,0,3.730718,9.042898,7.55399,0,0,0,8.77416,0,5.964673,0,0,0,0,0,0,0,0,0,0
10,1.32154088888889,0,0.310982,10.3023591891892,0,1.29349,1.70194446021021,0.565526216216216,7.16433,0,4.415017,0.150263297297297,0.865422027777778,9.457523,10.65707,0,0,35.191635,0,21.600327,0,7.328959,0,44.17063,4.462292,17.80953,5.168295,0,0,0,0,0,0,0,0,0,0
11,0,3.147499,0,34.4577,21.72618,13.64459,15.99121,0,0,0,1.28776333333333,0,0,0,0,0,0,18.386039,0,0,0,0,0.04438825,0,0,13.20944,0,2.88225,0,4.191617,4.428652,0,0,0,7.109891,0,4.927881
12,2.96750928963585,0,14.6482674420168,3.336219,1.20640886388889,0,1.67936038487395,14.18126,0,0,18.842882,1.597299,13.91177,22.955446,0,0,5.341597,19.221559,0,0,0,0,6.586703,0,1.99009,8.809463,0,2.600144,0,0,0,24.593899,0,0,12.446698,0,7.707007
13,2.2010945,0,21.3108395150794,0.906265388888889,9.94987,7.20458,0,0,29.198808,40.64136,0,16.516865,4.266308,21.403542,4.05011454285714,19.462146,0,5.456103,0,0,0,0,0,11.688063,0,19.179855,0,32.782483,0,0,0,0,18.087385,7.895684,17.705413,12.126469,0
14,31.063505,40.465013,15.1082118571429,1.61121446825397,75.400446,0,4.91581561111111,0,0,9.352876,208.060312,4.862964,1.475161,41.346821,0,5.936489,0,0,0,0,0,0,10.066103,7.16917,0,16.910975,0,0,18.349253,2.863863,16.65017,30.268721,0,0,45.397184,0,7.890349
15,11.926953,0,0,1.35057654285714,109.842586,0,1.97394616666667,0,7.097925,0,9.251137,0,23.870776,53.698049,15.867447,14.8280265428571,0,0,0,1.413496,3.878059,0,21.678203,0,0,14.85769,0,0,172.213888,0,0,19.295064,15.46653,0,9.103151,26.09622,4.143151
16,35.934806,0,0,6.967643,131.233615,29.835764,21.8673578333333,0,12.475899,0,124.919223777778,84.158599,0,29.22522,26.137461,33.190043,0,2.425602,4.317375,0,0,0,13.86177,5.080632,19.173982,22.15045,12.35391,11.38549,0,0,0,8.04239,0,0,12.697339,8.623852,4.378093
17,4.673783,0,0,57.850925,21.57871,32.136291,33.76684,0,25.547275,19.89221,9.32335508333333,0,4.275857,40.730531,173.221333,42.646291,3.468067,0,3.470755,25.206312,21.126629,3.165465,0,0,12.972403,0,30.815946,16.39359,14.074528,0,0,0,22.159738,20.38146,0,26.556659,93.487116
18,4.49830245714286,2.10795511111111,74.9736934444444,65.800662,13.7802192904762,0,32.537592,6.784797,32.250312,0,27.583958,40.611251,50.63226,70.11477,23.772486,115.49514,15.86868,23.134762,27.290046,4.705563,32.351324,21.3827673,23.0827,50.41529,9.868685,0,28.156688,42.408955,52.894769,40.693461,4.6627,6.739081,0,48.658859,43.409047,26.920065,57.937198
19,35.5233350588235,4.604388,47.790504,80.1099530588235,29.4544204,46.023194,96.730541,3.191424,118.446237,27.629147,73.909133,86.259028,69.8193517643791,53.328021,61.20469,70.14706,150.714114,23.43115,68.572501,11.699062,20.464837,3.233667,64.282297,20.738,48.544326,70.453245,91.343134,29.706802,54.885458,49.801282,20.81219,116.569057,10.868137,47.553928,46.877577,54.267662,47.568139
20,60.0264146666667,35.993414,71.921879,221.53071,47.065912,102.129168,70.611628,42.576111,136.991944,87.489417,73.013295,36.5422126111111,101.576143,86.116944,109.72353,39.822689,76.173531,48.579841,46.781167,37.962894,25.587054,30.6294,38.280804,56.062323,71.133034,47.537205,74.332629,99.762445,29.990226,87.7126,72.409655,90.368757,29.599499,114.244622,46.452714,40.50551,37.624324
21,126.582022555556,49.193245,73.519673,100.979697305556,27.4633419444444,125.7670875,57.892323,77.801881,53.500189,130.10457,56.659662,57.718782,150.29598,201.488593,187.763745,164.455272,107.056996,58.121819,53.653426,56.863826,48.969757,44.016265,79.099815,145.180641,155.956741,46.91495,122.385316,67.303249,45.905378,104.155084,180.882155,116.362636,56.077089,132.156665,60.601923,36.101948,72.843962
22,61.99004,23.367709,41.211092,312.968955166667,43.904389,109.048406,74.9183664166667,46.6863548888889,69.423927,64.141935,39.574976,50.155794,130.751108,57.960199,66.736048,100.922171,38.170363,75.041731,77.9978,55.629591,97.821056,73.123906,58.272122,133.211165,71.359011,44.503103,52.586282,101.735463,53.768375,90.810712,65.430304,109.852179,106.112477,132.017254,97.374982,92.032495,57.5363
23,44.859945,77.4684633865079,89.59192825,57.3150118888889,59.8366439166667,131.69157,69.434406,13.728944,85.900589,73.651663,27.738147497619,177.140707527778,97.20885,109.151554,83.524643,122.59317,135.936518,107.959689,75.565889,45.835865,97.429242,51.36889,29.902549,55.465496,75.430094,51.088937,46.616704,127.610206,43.923022,51.253028,109.521361,38.041751,114.047171,53.927858,138.506402,118.416231,27.694198
24,22.56441,64.955047,125.632396,143.875119,48.65278,52.053316,6.234937,34.471948,151.978570722222,54.626757,68.452293,233.815399,84.027907,136.777952,40.4266823,70.787401,138.334856,50.698789,56.479008,42.320373,81.887865,30.892408,50.654711,88.175811,90.704977,28.363757,92.733312,122.083026,48.488302,52.854935,95.678036,114.896734,82.139203,80.702552,135.089067,137.960239,98.069584
25,23.707797,49.8072458869281,63.381837,126.616992977778,38.681432,40.249817,52.0952147647059,157.23766,86.989665,65.248299,50.5612877647059,98.052489,155.267794,55.97983,0,24.959619,41.687859,22.254888,30.033123,40.861399,34.0055592,5.641706,45.3712016,47.560378,76.564414,74.965239,44.484358,44.689206,13.1003964,23.197065,45.368512,85.85531,71.55014,41.024955,29.638094,88.1030755,60.869715
26,14.1851741764706,46.697016,3.92039017647059,44.367793,51.697472,27.7771947764706,0.66331375,50.052073,11.259929,18.6818499388889,0,12.139161,1.2306496,14.942018,5.166352,20.3642158,20.1814159166667,4.25279,2.832753,7.878145,7.766948,3.712499,9.004101,4.375406,17.024173,11.223697,0,21.060244,4.757308,0,6.899998,26.829324,22.895754,38.048739,0,8.705736,20.273098
27,5.678998,8.14527041666666,6.340266,17.65876,5.87685197142857,7.695016,6.003313,51.67168,9.965375,1.16370897142857,7.746192,18.3920548055556,0,21.560061,6.348858,13.4257285833333,13.734765,11.326801,0,4.818441,7.359329,0,3.243921,0,0,2.050588,0,0,15.165865,0,13.43519,0,14.11878,6.299497,9.926702,0,21.9812153
28,0,0,0,18.3514230555556,4.40976,13.551471,0.335954722222222,0,25.583679,5.683822,3.996414,0,0,0,3.48293,11.7328270555556,4.940774,6.624543,0,0,0,0,0,0,0,3.169461,0,0,0,0,35.91266,20.05428,0,0,0,0,130.951104
29,0,0,0,0,8.511714,33.5776401111111,9.000413,0,0,0,0.176998416666667,0,0.595382514285714,0,15.4026545142857,0,7.673224,14.653047,0,2.381084,0,9.376568,0,3.349527,0,0,0,0,0,0,5.046617,5.490974,1.489821,5.717884,0,18.66267,28.948454
30,0,0.490021084920635,0.742452888888889,10.2984511944444,9.900341,0,0.245430285714286,0.245430285714286,2.561571,5.710562,16.704368,0,0,0,40.0610440571429,0,6.207689,12.831524,0,5.848139,0,0,0,15.972151,0,6.364053,0,0,0,0,1.807073,0,12.963283,0,0,0,0
