"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"2-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"3-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"4-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"5-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"6-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"7-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"8-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"9-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"10-Jan",0.1572763,0.362537,0.185581,0.2250739,0.2272723,0.2272723,0.2249367,0.1785863,0.2272723,0.2262836,0.2272723,0.2272723,0.2227383,0.2250739,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.2272723,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.1545659,0.2038043,0.2038043,0.2038043,0.2038043,0.2038043,0.3697286,0.4720197
"11-Jan",0.1632948,0.356642,0.2474591,0.2449087,0.2498941,0.2474591,0.2498941,0.2157043,0.3151293,0.2498941,0.2498941,0.2498941,0.3392686,0.2449087,0.2498941,0.2498941,0.2498941,0.2498941,0.2498941,0.2498941,0.1699507,0.1699507,0.1699507,0.2943859,0.1699507,0.1699507,0.1699507,0.1699507,0.1699507,0.1699507,0.2999128,0.1699507,0.1699507,0.2066558,0.2066558,0.2066558,0.226341048717949,0.2066558,0.2066558,0.2066558
